# File Format Version = 2
# File Timestamp = 2/2/2018 10:00:30 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-02-02-090010.56.buf
# Measurement ID = 88
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.501,Alpha,2109.56592,4.65501,90.00000,136.11086,154.08459
2,1.531,Alpha,2308.88129,4.81425,86.00000,144.96041,157.57036
3,4.204,Alpha,2230.81836,4.73837,91.84559,148.00695,163.27872
4,5.051,Alpha,2367.58401,5.28900,90.00000,140.41080,161.85478
5,5.109,Alpha,2041.59386,4.45331,91.23345,140.56845,157.96227
6,5.495,Alpha,2143.25195,4.79490,81.50000,134.86877,154.93684
7,6.527,Alpha,2421.95220,5.25605,89.50000,142.00235,159.26768
8,7.047,Alpha,2265.00559,4.65976,80.50000,148.15869,159.65455
9,8.018,Alpha,2032.79106,4.39714,93.00000,138.53722,153.31963
10,8.949,Alpha,2221.92980,4.55889,91.00000,149.56153,159.90334
11,9.096,Alpha,2275.61956,4.60212,88.50000,148.43069,156.78234
12,9.232,Alpha,1793.90711,3.88544,88.50000,141.85867,159.29467
13,10.471,Alpha,2129.50190,4.44381,89.50000,140.09213,151.27692
14,11.601,Alpha,2349.70768,5.05788,91.45641,144.69785,161.27638
15,11.758,Alpha,2290.67665,4.78319,88.00000,143.13804,155.11603
16,13.210,Alpha,2231.97208,4.84739,74.50000,138.13115,155.41263
17,13.689,Alpha,2078.98477,4.61893,91.45356,137.61086,156.67666
18,13.784,Alpha,2117.40721,4.60411,90.45233,142.05592,159.73354
19,14.850,Alpha,2203.89492,4.74459,88.50000,139.57713,155.10063
20,14.873,Alpha,2198.89872,4.91964,88.50000,137.92437,158.98017
21,15.262,Alpha,2114.92962,4.59323,90.50000,138.58321,154.63199
22,15.333,Alpha,2347.29677,4.97477,89.30288,145.72321,160.70645
23,16.581,Alpha,2535.57654,5.19704,79.50000,149.87254,160.67432
24,16.749,Alpha,2369.14797,4.88983,90.00000,149.92589,161.31961
25,18.125,Alpha,2239.43402,4.73493,92.50000,144.00873,157.26605
26,19.243,Alpha,2075.84602,4.61141,90.00000,133.93624,152.01893
27,19.423,Alpha,2128.93225,4.44423,91.50000,141.71257,152.86613
28,19.603,Alpha,2219.35131,4.37325,76.50000,148.52359,153.41529
29,19.628,Alpha,2082.32155,4.78455,89.00000,134.18094,158.27342
30,20.199,Alpha,2464.30203,5.32457,81.00000,141.41227,158.87305
31,20.840,Alpha,2387.56942,5.07918,89.47235,144.91092,160.23482
32,21.005,Alpha,1948.17166,4.53695,90.00000,129.89197,153.13901
33,22.611,Alpha,2013.59482,4.47292,91.00000,137.52596,156.57251
34,23.807,Alpha,2364.81280,4.85494,90.81779,148.01392,158.26339
35,24.549,Alpha,2191.53297,4.85184,91.00000,141.58282,161.73110
36,24.614,Alpha,1942.60068,4.25357,91.97470,136.23725,152.38369
37,24.999,Alpha,2188.97210,4.86412,90.68840,138.86460,158.79233
38,25.808,Alpha,2090.63677,4.57571,91.50000,137.19292,153.65493
39,26.120,Alpha,2436.70952,5.05509,91.50000,145.48957,156.58759
40,26.734,Alpha,2349.75359,5.01918,87.50000,141.19647,156.24147
41,27.299,Alpha,2002.16621,4.41971,90.50000,134.63599,151.70467
42,29.141,Alpha,2118.37898,4.54627,93.54668,143.22177,158.24031
43,29.425,Alpha,2113.49242,4.75870,90.50000,135.45606,155.58745
44,30.635,Alpha,2305.02959,4.93753,85.50000,141.33050,156.93167
45,32.468,Alpha,2308.36694,4.72609,86.50000,146.32305,156.33092
