# File Format Version = 2
# File Timestamp = 1/25/2018 10:22:52 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-25-092223.24.buf
# Measurement ID = 77
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.619,Alpha,2361.23330,4.82210,90.50000,145.53823,154.22419
2,1.875,Alpha,2133.19701,4.28696,87.50000,151.28820,158.99558
3,2.163,Alpha,2122.64952,4.65983,90.00000,136.63414,153.44183
4,2.621,Alpha,2303.74050,4.78296,92.00000,143.17154,153.57184
5,3.065,Alpha,2334.11133,4.90499,84.50000,143.30201,156.24701
6,3.788,Alpha,2353.50503,4.69628,88.50000,147.05745,153.07161
7,3.869,Alpha,2148.12927,4.51839,91.50000,140.60345,152.24367
8,4.166,Alpha,2349.89161,4.67027,87.50000,146.95032,152.61153
9,4.301,Alpha,2238.68878,4.68007,91.50000,143.81218,155.19766
10,4.358,Alpha,2357.42844,4.93251,89.50000,143.19675,155.10157
11,4.688,Alpha,2216.17349,4.88819,85.50000,134.71756,152.43446
12,5.389,Alpha,3030.09886,7.87526,90.50000,120.20742,152.81018
13,5.443,Alpha,2216.01390,4.75563,88.50000,138.55087,152.82007
14,5.791,Alpha,2249.96747,4.60155,89.00000,142.24459,150.85157
15,6.779,MidAir,2096.52546,4.28676,89.50000,139.12392,147.18338
16,7.388,Alpha,2351.83333,4.69906,90.00000,146.71767,152.85911
17,8.747,Alpha,2296.13105,4.58010,89.50000,148.69408,154.84180
18,8.752,Alpha,2238.09316,4.58556,88.50000,142.11268,150.96135
19,8.819,Alpha,2311.99646,4.72928,88.00000,142.48935,151.38852
20,9.305,Alpha,2341.18701,4.64273,91.50000,149.38214,154.62036
21,10.538,Alpha,2427.08954,4.75599,89.00000,150.69746,154.77092
22,10.682,Alpha,2358.79130,4.57339,86.00000,149.71122,152.42331
23,10.913,Alpha,2274.27025,4.64909,88.00000,144.00969,153.04399
24,11.752,Alpha,2241.69030,4.85349,90.00000,139.74485,155.41543
25,12.522,Alpha,2212.46618,4.75834,90.00000,138.27831,152.89842
26,12.527,Alpha,2299.56987,4.72381,89.00000,144.91250,154.45081
27,13.295,Alpha,2262.67667,4.89713,88.50000,139.77747,155.65691
28,13.613,Alpha,2239.06664,4.78716,84.50000,139.58259,154.18730
29,13.866,Alpha,2265.51557,4.83732,88.00000,140.22560,154.44629
30,13.901,Alpha,2135.87857,4.72811,90.00000,135.62777,153.36047
31,14.235,Alpha,2345.95783,4.69062,90.00000,149.65010,156.17934
32,14.635,Alpha,2420.90558,5.10175,88.00000,143.97767,157.22660
33,15.501,Alpha,1506.72679,3.07329,76.00000,137.47234,147.17684
34,16.013,Alpha,2291.89507,4.67362,89.50000,145.78777,154.68062
35,16.020,Alpha,2308.09698,4.52307,88.00000,147.94572,151.89363
36,18.152,Alpha,1119.25705,2.28193,63.00000,120.73376,129.91053
37,18.514,Alpha,2169.77403,4.90638,88.50000,134.23764,154.94577
38,20.315,Alpha,2434.50694,4.62010,86.50000,151.02184,151.07021
39,20.341,Alpha,2340.03019,4.74795,85.50000,144.13950,152.27640
40,20.527,Alpha,2716.31274,5.15847,87.50000,154.52079,154.65210
41,20.547,Alpha,2435.50233,4.84779,86.00000,150.11204,156.32861
42,23.180,Alpha,2273.46729,4.73421,89.00000,141.32836,152.25042
43,23.252,Alpha,2226.93288,4.67206,87.50000,139.97310,151.79005
44,24.143,Alpha,2346.68131,4.89729,85.00000,144.02702,156.17427
45,24.177,Alpha,2251.03422,4.76418,87.00000,138.15871,150.95023
46,25.529,Alpha,2503.96942,5.21099,76.50000,147.31396,160.04049
47,26.416,Alpha,2086.74745,4.54165,91.00000,137.46213,153.25496
48,26.445,Alpha,2347.87640,4.71928,86.50000,144.90325,151.84929
49,26.645,Alpha,2200.56163,4.57065,89.50000,141.40996,151.61550
50,26.892,Alpha,2140.96073,4.66050,89.00000,137.51385,153.58991
51,27.733,Alpha,2456.50413,5.08151,86.50000,145.75375,156.81638
52,28.705,Alpha,2290.11774,4.56746,86.00000,150.57598,157.17125
53,29.546,Alpha,2459.67389,5.04791,88.00000,147.01023,156.97748
54,29.722,Alpha,2364.19620,4.62358,90.00000,148.06716,151.61882
55,30.235,Alpha,2016.72505,4.00027,88.50000,150.22997,155.91474
56,31.073,Alpha,2350.83714,4.65177,88.00000,150.81563,156.21892
57,33.575,Alpha,2008.12191,4.10266,90.00000,147.50379,156.72061
58,33.687,Alpha,2226.08521,4.77338,89.00000,138.97274,153.32268
59,34.140,Alpha,2334.80619,4.60698,87.00000,150.91405,155.96021
60,34.980,Alpha,2267.67526,4.72192,86.00000,138.82152,149.58724
61,35.724,Alpha,2305.86515,4.59839,88.50000,149.83556,156.25360
62,36.039,Alpha,2270.25155,4.88541,89.00000,139.35683,154.38691
63,36.143,Alpha,2423.34673,4.80368,87.50000,149.62532,155.07533
64,36.493,Alpha,2045.73546,3.93579,89.50000,151.84580,153.56125
65,36.956,Alpha,2229.46021,4.67113,87.50000,140.18441,151.92406
66,37.511,Alpha,2340.13391,4.88421,89.00000,143.15157,154.77958
67,38.228,Alpha,2364.48053,4.86790,82.00000,143.89494,154.18455
68,38.544,Alpha,2274.48913,4.81451,88.00000,141.59880,154.96251
69,40.053,Alpha,1496.86140,3.10642,84.50000,144.71883,157.02056
70,40.174,Alpha,2389.19319,4.70911,89.00000,149.04881,153.66648
71,40.557,Alpha,2428.49062,4.82530,89.50000,150.72297,156.56459
72,43.196,Alpha,2160.95003,4.48430,90.50000,140.89000,150.89866
73,43.712,Alpha,2427.14617,5.04059,87.50000,147.85999,159.90525
74,44.489,Alpha,2229.85603,4.89042,90.00000,138.24899,155.68331
75,45.623,Alpha,2372.68719,4.79554,89.50000,147.10445,154.81417
76,45.816,Alpha,2441.46542,4.93028,88.00000,146.66952,154.32459
77,47.563,Alpha,2380.92041,4.70046,85.50000,150.28540,155.42481
78,48.130,Alpha,2382.89102,4.69420,90.00000,149.66842,154.25096
79,49.683,Alpha,2367.95961,4.92396,89.00000,141.37779,152.21621
80,50.333,Alpha,2204.86869,4.65759,89.50000,137.81803,149.69371
81,50.426,Alpha,2420.35052,4.79616,84.00000,148.21390,153.70202
82,50.845,Alpha,2373.30795,4.65131,85.50000,152.48149,156.78284
83,51.290,Alpha,2368.20680,4.82051,85.00000,146.33276,155.31258
84,51.815,Alpha,2257.87653,4.76220,89.00000,140.86336,153.37432
85,51.900,Alpha,2199.76496,4.34650,89.50000,145.42353,150.11019
86,52.354,Alpha,2436.17444,4.86255,87.50000,146.73707,152.85949
87,53.395,Alpha,2336.59531,4.59528,88.50000,149.15106,153.52442
88,54.578,Alpha,2240.35532,4.78293,88.50000,138.38571,151.89393
89,55.500,Alpha,2378.86105,4.73623,87.50000,146.30790,152.16329
90,56.432,Alpha,2139.17005,4.23981,86.50000,148.59524,154.12168
91,57.193,Alpha,2339.55194,4.55488,89.50000,147.59368,150.61633
92,57.307,Alpha,2274.39901,4.85709,90.50000,141.07540,154.88259
93,58.095,Alpha,2917.62146,6.06636,87.35531,142.78694,154.56732
94,59.118,Alpha,2410.77832,4.85940,89.00000,149.20502,156.87918
95,59.211,Alpha,2226.20896,4.71964,90.50000,140.61303,153.31830
96,59.933,Alpha,2382.13665,4.58488,88.50000,149.86337,151.59655
97,60.250,Alpha,1773.50415,3.59914,88.00000,147.31597,155.93507
98,60.324,Alpha,2203.21334,4.58885,89.50000,139.33114,149.73529
99,60.561,Alpha,2338.29688,4.68351,87.50000,147.85354,154.62508
100,60.881,Alpha,2176.64407,4.47160,88.00000,140.47132,149.39844
101,61.114,Alpha,2380.68400,4.59660,90.50000,151.77244,153.89965
102,62.094,Alpha,2297.98552,4.52257,89.00000,148.39732,152.85674
103,62.146,Alpha,2209.79833,4.83444,89.50000,135.94669,152.25230
104,62.401,Alpha,2285.60506,4.94533,86.00000,137.14160,152.76964
105,63.024,Alpha,2223.75811,4.52339,90.50000,143.66334,151.61831
106,63.506,Alpha,2295.44080,4.68484,90.00000,145.77787,154.64942
107,63.703,Alpha,2199.43080,4.72846,91.50000,140.98754,155.69102
108,64.500,Alpha,2432.08738,4.84132,78.50000,146.22464,152.14198
109,65.367,Alpha,2409.85159,4.78399,90.00000,149.72034,155.25847
110,65.937,Alpha,2173.18341,4.39713,89.50000,143.00762,150.26746
111,66.089,Alpha,2407.62885,4.84205,91.50000,149.07576,156.27679
112,66.899,Alpha,2428.22408,4.99483,82.50000,147.00406,157.64446
113,66.933,Alpha,2289.24960,4.77609,90.50000,140.77272,151.55765
114,67.858,Alpha,2253.10305,4.89366,88.50000,137.79744,153.58815
115,68.663,Alpha,2301.82408,4.42581,89.00000,152.10785,153.80388
116,69.833,Alpha,2188.87107,4.83475,89.50000,136.45995,154.47666
117,69.911,Alpha,2335.08499,4.66753,85.50000,145.69882,152.09494
118,70.119,Alpha,2244.04705,4.54624,88.00000,149.89985,158.37038
119,72.149,Alpha,2148.19236,4.71187,89.50000,136.11974,153.08779
120,72.749,Alpha,2124.13407,4.57609,86.50000,136.30407,151.11737
121,74.001,Alpha,2388.28605,4.72764,89.50000,149.71091,154.90698
122,74.033,Alpha,2294.17976,4.69055,89.00000,148.73381,158.34375
123,74.545,Alpha,2374.88650,4.84184,87.50000,145.08831,153.77810
124,74.868,Alpha,2168.33911,4.20920,88.00000,150.97665,153.86709
125,75.792,Alpha,2362.81077,4.74234,87.00000,147.26850,154.22316
126,75.793,Alpha,2153.20192,4.38773,90.00000,144.14806,152.41234
127,76.149,Alpha,2183.05334,4.55197,89.00000,141.60594,152.56324
128,76.932,Alpha,2333.07777,4.76698,89.00000,144.59055,153.39870
129,77.086,Alpha,2179.10253,4.70455,90.50000,137.73930,152.56256
130,77.495,Alpha,2227.13422,4.73508,86.50000,138.36699,151.55520
131,77.503,Alpha,2380.70950,4.82474,90.50000,148.31131,156.41262
132,77.785,Alpha,2227.32776,4.94723,89.50000,137.89610,157.36404
133,78.153,Alpha,2407.41802,4.63394,89.50000,152.10863,153.89787
134,78.614,Alpha,2395.32637,4.72345,88.00000,148.26814,152.94239
135,79.442,Alpha,2396.54145,4.66058,87.50000,147.87037,150.80119
136,80.365,Alpha,2285.58389,4.73425,90.50000,141.42266,151.31327
137,81.632,Alpha,2374.61365,4.66916,89.00000,149.79051,154.26712
138,81.972,Alpha,2277.68024,4.84768,85.50000,139.11858,153.06879
139,83.443,Alpha,2228.87417,4.69987,90.00000,141.10159,153.60611
140,83.546,Alpha,2410.19498,4.76070,87.50000,148.89415,153.87999
141,83.793,Alpha,2446.92825,4.80454,88.00000,150.15556,154.42660
142,83.920,Alpha,2265.42601,4.87798,89.00000,141.47147,157.18259
143,84.282,Alpha,2407.93925,4.78791,89.50000,152.82974,159.09186
144,84.616,Alpha,2295.94740,4.73583,87.00000,140.94324,150.53964
145,84.619,Alpha,2381.55121,4.99962,90.00000,144.90888,157.61140
146,84.931,Alpha,2413.81045,4.95974,89.00000,146.03364,155.85977
147,85.180,Alpha,2236.94738,4.24589,88.00000,151.34839,151.41720
148,85.235,Alpha,2620.10852,5.30324,88.00000,144.73115,152.28052
149,85.640,Alpha,2306.23674,4.83670,88.00000,142.18517,154.33166
150,87.512,Alpha,2125.61696,4.66295,92.50000,138.52650,155.25143
151,88.120,Alpha,2197.10435,4.91296,90.00000,134.94945,153.79884
152,88.156,Alpha,2260.13555,4.66002,89.50000,144.81709,154.81442
153,89.666,Alpha,2165.68073,4.76918,89.00000,136.34934,153.56723
154,91.107,Alpha,2422.74397,4.92757,85.50000,144.44873,152.89921
155,92.237,Alpha,2397.85339,5.01545,88.50000,142.93880,154.83592
156,92.347,Alpha,2487.80350,5.33769,87.50000,143.69570,159.52967
157,94.048,Alpha,2375.31516,4.79715,88.50000,144.63855,152.02494
158,94.997,Alpha,2243.76220,4.45535,89.00000,144.93919,150.21526
159,95.041,Alpha,2432.77095,4.79155,88.50000,151.61476,156.42131
160,96.454,Alpha,2427.19650,5.01876,88.50000,146.59412,157.44931
161,97.309,Alpha,2547.43506,5.04270,82.00000,148.83310,154.28530
162,97.348,Alpha,1342.30014,2.68255,64.50000,126.05670,132.91947
163,97.534,Alpha,2282.83087,4.74231,89.00000,142.58428,153.18278
164,98.508,Alpha,2301.66885,4.44832,89.00000,148.22396,150.39957
165,99.846,Alpha,2434.09162,4.90902,87.50000,149.52858,157.56216
166,101.813,Alpha,2282.85562,4.60772,89.50000,146.71543,154.17414
167,102.002,Alpha,2289.64068,4.76630,89.50000,142.82571,153.83870
168,102.544,Alpha,906.78389,1.93172,58.50000,108.51985,121.73265
169,104.059,Alpha,2414.90729,5.01144,87.50000,145.40644,156.83715
170,104.392,Alpha,2245.75819,4.61783,89.50000,142.12271,151.41557
171,104.554,Alpha,2353.87443,4.84878,75.50000,143.36322,153.62856
172,105.414,Alpha,2428.56088,4.93880,83.50000,147.24392,156.22919
173,106.120,Alpha,2267.97412,4.59603,90.00000,145.11750,152.91080
174,107.301,Alpha,2249.81297,4.63093,87.50000,144.77337,154.65844
175,107.990,Alpha,2278.57109,4.69351,90.00000,144.18082,154.03994
176,108.337,Alpha,2314.49347,4.56956,90.00000,148.26848,152.96137
177,108.519,Alpha,2287.80873,4.65094,88.50000,142.86972,150.93073
178,108.916,Alpha,2274.78509,4.70001,88.50000,144.38533,154.69220
179,110.415,Alpha,2176.34963,4.78762,90.50000,134.93173,151.28612
180,110.511,Alpha,2229.06630,4.89462,92.50000,138.82363,155.68594
181,110.515,Alpha,2205.07591,4.67462,90.00000,146.97369,161.59471
182,111.324,Alpha,2207.67990,4.68763,90.00000,140.26546,153.35428
183,112.580,Alpha,2253.12125,4.66171,88.50000,140.55370,150.38451
184,113.426,Alpha,2366.92790,4.67353,89.00000,149.64745,154.57362
185,113.809,Alpha,2134.60968,4.57410,90.00000,138.66498,152.24506
186,114.146,Alpha,2401.24471,4.78292,92.00000,150.98539,157.05956
187,114.171,Alpha,2141.63932,4.68639,91.50000,137.56542,153.81777
188,114.527,Alpha,2300.17523,4.58928,85.00000,149.10861,155.70725
189,115.574,Alpha,2235.88292,4.51170,89.00000,142.19568,149.08318
190,116.437,Alpha,2315.09110,4.90741,89.00000,141.01398,154.11171
191,116.815,Alpha,2185.63812,4.64806,89.00000,138.45718,151.57764
192,118.343,Alpha,2307.00185,4.67227,78.00000,148.28128,156.81744
193,119.142,Alpha,2496.84434,4.85824,80.00000,151.33022,154.59931
194,119.837,Alpha,2190.23037,4.64777,87.50000,138.26495,151.28040
195,120.791,MidAir,2192.10570,4.25738,91.00000,147.46702,150.13934
196,121.416,Alpha,2373.43763,4.63170,88.50000,152.12247,155.73966
197,122.415,MidAir,2228.71330,4.54514,90.00000,141.08302,149.03522
198,123.532,Alpha,2423.41361,4.73246,86.50000,148.58391,152.11615
199,123.778,Alpha,2339.64859,4.66600,90.50000,149.26828,155.38281
200,125.352,Alpha,2220.22054,4.49780,89.50000,142.86871,150.37523
201,125.481,Alpha,2359.88942,4.61340,89.00000,149.22080,152.84308
202,125.670,Alpha,2333.00678,4.86401,90.00000,143.77096,155.31769
203,126.875,Alpha,2259.52979,4.85087,91.00000,142.29128,157.17226
204,127.235,Alpha,2393.71645,4.91872,92.00000,151.10611,161.39901
205,127.752,Alpha,2391.87833,4.70140,88.50000,148.96288,153.25512
206,128.270,Alpha,2455.90747,4.76870,85.00000,148.74939,151.55678
207,128.698,Alpha,2291.11451,4.67872,88.50000,143.44054,152.13902
208,128.796,Alpha,2194.36064,4.73635,90.00000,136.37385,150.54236
209,129.165,Alpha,2377.48622,4.84173,88.50000,147.30395,156.22127
210,129.642,Alpha,2222.93677,4.81393,91.00000,139.56903,155.07638
211,132.205,MidAir,2212.40443,4.54564,89.00000,140.11161,148.86784
212,132.312,Alpha,2482.57916,4.96705,87.50000,151.19363,158.08645
213,133.422,Alpha,2244.45658,4.86922,88.00000,138.16501,154.26035
214,134.379,Alpha,2227.47260,4.48900,89.00000,144.65762,151.69004
