# File Format Version = 2
# File Timestamp = 2/2/2018 11:07:08 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-31-091054.09.buf
# Measurement ID = 84
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.467,Alpha,2123.72711,4.54374,91.00000,138.92684,152.95825
2,2.100,Alpha,2190.04815,4.80348,87.50000,137.51463,155.32424
3,2.103,Alpha,2105.67220,4.19572,90.00000,146.59069,152.57430
4,2.115,Alpha,2155.40337,4.62147,90.50000,145.93706,162.43745
5,2.645,Alpha,2132.25513,4.47160,89.50000,146.18046,159.48512
6,3.046,Alpha,2074.90058,4.75769,89.00000,130.74537,152.48240
7,3.238,Alpha,2223.95157,4.61255,89.50000,142.85496,153.80678
8,4.583,Alpha,2238.64313,4.68771,89.56194,142.75454,155.08237
9,5.373,Alpha,1859.97542,3.74627,88.66611,148.27068,156.11703
10,5.779,Alpha,2169.69669,4.70438,91.72073,142.26993,159.13571
11,6.845,Alpha,2137.60110,4.71682,87.00000,135.05100,153.17812
12,8.607,Alpha,2223.08333,4.66308,82.50000,144.35084,157.94044
13,9.589,Alpha,3051.42897,6.51533,89.50000,145.85485,161.40400
14,11.944,Alpha,2322.64895,4.64699,89.00000,147.68866,154.33781
15,12.789,Alpha,2236.81297,4.68354,90.38744,145.02277,157.67422
16,13.899,Alpha,2352.81361,5.20824,92.00000,142.36476,162.35935
17,14.179,Alpha,2107.31704,4.64649,89.50000,135.21989,152.69146
18,14.858,Alpha,2216.66004,4.82921,87.50000,137.63948,154.38708
19,16.203,Alpha,2323.88025,4.84092,88.00000,143.75114,155.58833
20,16.296,Alpha,2133.16593,4.41437,91.50000,144.10109,154.60255
21,16.608,Alpha,2379.17710,4.85581,81.50000,146.72441,156.36246
22,17.857,Alpha,2140.59185,5.07282,89.00000,131.04494,157.93099
23,19.658,Alpha,2113.64750,4.73671,90.86259,136.08489,156.11980
24,20.386,Alpha,2412.56701,5.18093,90.00000,145.13907,161.83097
25,22.187,Alpha,2329.46354,4.95865,89.00000,141.42841,155.57647
26,22.511,Alpha,2165.76648,4.41990,88.50000,142.48213,151.08151
27,22.715,Alpha,2496.84000,5.03244,86.00000,149.19465,157.24297
28,23.100,Alpha,2270.79358,5.27140,88.00000,133.88869,159.62214
29,23.912,Alpha,2257.07804,4.83417,91.20721,141.99903,157.04893
30,23.935,Alpha,2354.03632,5.21490,84.00000,139.49097,160.09886
31,24.439,Alpha,2102.56378,4.73457,84.00000,133.89621,154.88403
32,24.586,Alpha,2331.99846,4.68547,80.50000,146.23025,153.54826
33,26.687,Alpha,2510.73918,5.64503,86.50000,143.97362,169.27703
34,26.944,Alpha,2073.08732,4.79587,89.00000,133.02407,156.98582
35,26.951,Alpha,2213.73896,4.89837,86.00000,133.82338,151.82475
36,29.107,Alpha,2191.71026,4.56535,91.00000,145.63058,157.42885
37,29.441,Alpha,2219.49123,4.48180,91.50000,146.81742,154.43238
38,29.882,Alpha,2326.87157,4.80495,90.77848,143.41702,153.64521
39,29.926,Alpha,2423.51384,4.98338,85.00000,146.58755,157.31264
40,30.015,Alpha,2148.16341,4.68641,78.00000,134.19617,151.07740
41,30.578,Alpha,1944.62865,3.80514,86.00000,149.31093,153.29128
42,30.652,Alpha,2125.78459,4.65799,93.44933,138.96130,155.66802
43,31.671,Alpha,2434.64444,5.10108,82.00000,145.83322,159.38803
44,31.839,Alpha,2426.76535,4.89531,80.00000,146.47006,154.41979
45,32.649,Alpha,2223.68884,4.71164,87.50000,139.87787,153.31608
46,32.783,Alpha,2162.74928,4.83317,89.70647,133.97082,153.14586
47,33.106,Alpha,2195.83131,4.85915,87.50000,136.34259,155.03662
48,34.280,Alpha,2290.74868,4.91854,89.06335,141.40322,157.30243
49,34.339,Alpha,2323.54331,5.13930,91.50000,141.86574,161.86681
50,35.046,Alpha,2138.12145,4.58849,90.00000,138.93248,153.56050
51,35.051,Alpha,2340.03084,4.89179,89.71416,145.04274,157.61092
52,35.073,Alpha,2129.04579,4.39739,92.19398,144.03520,154.13784
53,35.349,Alpha,2094.92903,4.59647,89.50000,136.23446,153.35228
54,35.457,Alpha,2275.87922,4.63718,91.00000,147.53314,156.43577
55,35.602,Alpha,2496.94108,5.04141,88.50000,150.24990,158.69478
56,35.623,Alpha,2263.36713,4.89997,88.50000,140.69103,157.63817
57,36.258,Alpha,2172.43245,4.65614,88.00000,140.56738,155.93784
58,36.461,Alpha,2068.77564,4.12943,88.50000,149.43948,156.12107
59,36.944,Alpha,2432.93593,5.25842,89.23326,144.07840,161.83870
60,38.023,Alpha,2229.45489,4.77670,91.00000,142.63189,157.94636
61,40.324,Alpha,2250.88009,4.61563,84.00000,143.74984,153.56094
62,40.478,Alpha,2110.22216,5.01572,90.90296,129.91694,156.33881
63,40.655,Alpha,2366.50443,5.16415,88.50000,141.99827,160.30816
64,41.596,Alpha,2167.45095,4.78959,89.50000,135.51300,153.22714
65,42.589,Alpha,2366.65343,4.95463,88.50000,144.95837,157.86789
66,42.783,Alpha,2349.99938,5.07511,89.00000,142.81565,159.76713
67,43.913,Alpha,2200.13881,4.71074,90.50000,137.99450,151.85503
68,44.710,Alpha,2122.04117,4.96985,89.50000,131.32895,156.56733
69,44.920,Noise,0.00000,-0.00981,,,
70,44.990,Alpha,2034.18106,4.42640,90.18796,137.03597,153.19310
71,45.017,Alpha,2293.53121,4.84572,90.50000,145.28187,159.11157
72,46.558,Alpha,2190.70605,4.78628,88.69248,137.92271,155.53287
73,47.231,Alpha,2218.69392,4.94463,88.00000,136.64374,156.55123
74,48.520,Alpha,2141.03989,4.71102,90.50000,137.84072,155.69532
75,50.055,Alpha,2213.87963,4.80786,81.00000,136.86526,153.52966
76,52.573,Alpha,2203.75623,4.81821,87.50000,135.10699,151.65277
77,52.927,Alpha,2163.21912,4.73451,89.50000,139.74080,157.74789
78,53.016,Alpha,2192.52433,4.88793,89.00000,136.40643,155.96542
79,53.698,Round,2132.41872,5.07975,89.00000,130.01173,157.90397
80,53.722,Alpha,2089.44559,4.50966,92.16175,138.12030,152.80433
81,55.959,Alpha,2121.96244,4.75589,90.50000,135.99183,155.83538
82,56.053,Alpha,1930.17905,3.66553,85.50000,148.26300,148.39714
83,56.310,Alpha,2296.79086,5.01492,90.00000,141.44657,159.54792
84,56.334,Alpha,2170.90033,4.90382,90.50000,134.30383,154.70707
85,57.589,Alpha,2265.91032,4.98357,88.00000,141.10154,160.74087
86,57.612,Alpha,2015.10412,4.33930,89.88651,137.07038,151.81772
87,57.761,Alpha,2288.57264,4.82832,89.00000,145.97132,160.16090
88,59.299,Alpha,2374.76716,4.97324,85.50000,144.51260,157.36616
89,59.727,Alpha,2311.41734,4.68274,88.00000,145.14516,153.28177
90,60.413,Alpha,2311.88310,5.19276,90.00000,138.51359,159.75448
91,61.274,Alpha,2157.41847,4.77229,88.50000,138.38907,157.56465
92,62.194,Alpha,2277.63306,5.16135,89.50000,137.35469,160.11282
93,63.553,Alpha,2175.55241,4.70485,88.67959,143.65698,161.55810
94,63.996,Alpha,2360.49677,5.00013,87.00000,146.44299,161.40716
95,65.361,Alpha,2232.93665,4.94716,93.50000,142.23352,161.60587
96,65.716,Alpha,2260.37728,4.84399,90.35026,139.98632,154.77798
97,66.356,Alpha,2243.30328,4.78162,90.00000,140.17844,154.24314
98,66.534,Alpha,2351.93371,4.91175,88.00000,147.20721,160.14649
99,66.561,Alpha,2249.16867,4.80935,86.50000,141.32342,156.89020
100,67.486,Alpha,2185.68042,4.69756,88.50000,139.14427,154.12007
101,68.621,Alpha,2193.83877,4.93207,88.50000,136.09997,157.59774
102,69.624,Alpha,2267.06595,4.60338,90.05208,146.73770,155.32313
103,70.373,Alpha,2234.28111,4.66771,87.00000,143.97306,156.40965
104,70.442,Alpha,2238.24596,5.16546,88.50000,134.00516,158.54821
105,71.114,Alpha,2144.09686,4.30968,88.00000,147.69495,155.21380
106,71.345,Alpha,2267.49530,5.06511,88.00000,137.01716,157.60702
107,71.967,Alpha,2053.10751,4.78830,91.16588,132.98890,157.89308
108,72.712,Alpha,2339.81948,5.10506,90.50000,141.39113,159.22339
109,72.941,Alpha,2179.73110,4.50790,90.42189,147.39753,158.69418
110,73.202,Alpha,2269.10194,4.83386,88.00000,144.38548,159.87515
111,73.385,Alpha,2237.38822,4.87924,89.50000,136.47708,152.76491
112,73.749,Alpha,2348.32081,5.01108,88.00000,142.53503,157.72866
