# File Format Version = 2
# File Timestamp = 2/2/2018 11:05:16 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-02-01-140443.70.buf
# Measurement ID = 87
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.151,Alpha,2185.49951,4.62507,91.00000,140.81147,153.27550
2,0.159,Alpha,2341.85516,4.47099,88.50000,153.90562,154.72007
3,0.806,Alpha,2355.78798,4.83687,87.50000,148.77162,159.40024
4,0.838,Alpha,2306.03078,4.80035,90.00000,145.04657,156.42281
5,2.604,Alpha,2454.40364,4.84836,89.50000,151.79122,156.97559
6,2.607,Alpha,2197.59024,4.67731,87.50000,138.80217,152.32479
7,2.917,Alpha,1109.66494,2.20270,50.00000,113.40739,119.41227
8,3.417,Alpha,2275.57683,4.69198,89.00000,142.60131,152.39215
9,6.033,Alpha,2234.69767,4.57162,89.50000,142.79033,151.55795
10,7.004,Alpha,2227.78652,4.85989,89.00000,139.92892,156.77603
11,7.032,Alpha,2272.18367,4.86251,91.00000,140.93013,154.82349
12,7.758,Alpha,2171.55369,4.50139,88.50000,144.81947,156.05463
13,9.438,Alpha,2347.29467,4.55476,89.50000,149.68798,152.38038
14,9.747,Alpha,2172.04602,4.36385,89.00000,148.67199,155.94156
15,10.355,Alpha,2329.99508,4.75236,88.00000,149.12564,158.69113
16,10.581,Alpha,2314.38054,4.72104,89.50000,146.06854,154.91061
17,10.623,Alpha,2177.56161,4.61677,88.00000,140.13553,153.33755
18,11.302,Alpha,2567.01846,5.14817,87.50000,150.87060,158.12742
19,12.900,Alpha,2270.28889,4.66219,87.50000,145.62317,155.58395
20,13.338,Alpha,2264.78990,4.50267,91.00000,146.45957,151.79845
21,13.839,Alpha,2285.95745,4.75489,88.00000,143.56666,154.87200
22,17.072,MidAir,2099.74634,4.36903,91.00000,139.71273,149.88264
23,17.171,Alpha,2300.84197,4.66205,89.00000,145.70939,153.70148
24,17.198,Alpha,2413.54035,4.71053,88.00000,153.31648,156.96322
25,17.224,Alpha,2287.55156,4.86102,88.00000,142.02344,156.18140
26,19.098,Alpha,2378.60062,4.87596,87.50000,146.16262,155.91170
27,20.158,Alpha,2228.21337,4.75310,90.50000,140.85090,154.76138
28,20.246,Alpha,2126.00820,4.66544,90.50000,136.96985,153.60859
29,20.492,Alpha,2310.70655,4.66355,92.00000,148.94122,156.47055
30,21.363,Alpha,2302.32902,4.51815,90.50000,151.04736,155.24145
31,22.026,Alpha,2291.19734,5.07314,88.00000,136.98860,155.61620
32,22.394,Alpha,2228.49070,4.73504,91.00000,143.73812,157.41141
33,22.553,MidAir,2119.67766,4.23081,92.00000,143.20051,148.68326
34,22.733,Alpha,2365.74203,4.77805,89.50000,148.26424,156.05966
35,22.811,Alpha,2193.32035,4.68055,91.00000,141.93244,156.09113
36,22.944,Alpha,2451.84512,4.93674,87.50000,149.13391,156.70347
37,23.077,Alpha,2260.12420,4.71775,90.00000,142.50053,153.88848
38,23.083,Alpha,2521.75824,5.54527,90.50000,136.18179,152.94701
39,23.182,Alpha,2333.57175,4.71783,89.00000,150.74590,159.06519
40,23.467,Alpha,2333.74795,4.89878,85.00000,141.28901,153.79242
41,26.491,Alpha,2354.93341,4.84686,90.00000,145.90458,155.85581
42,26.759,Alpha,2222.26166,4.82576,91.50000,141.45536,157.65731
43,27.280,Alpha,2326.28113,4.65100,83.00000,151.74296,158.87369
44,28.103,Alpha,2324.41423,4.84085,87.00000,148.88633,161.57431
45,30.666,Alpha,2321.52086,4.60058,91.00000,152.30445,157.81685
46,30.766,Alpha,2418.78567,4.90192,86.00000,145.91880,154.14396
47,32.060,Alpha,2450.12105,5.04250,88.00000,148.74181,159.39756
48,32.227,Alpha,2053.90665,4.05813,89.50000,151.72879,156.92802
49,33.339,Alpha,1356.02291,2.76088,75.50000,136.83587,146.17181
50,34.649,Alpha,2432.34293,4.82337,87.00000,149.53432,155.19389
51,35.411,Alpha,2429.69164,4.74191,88.50000,152.97672,156.64953
52,35.415,Alpha,2277.35171,4.67224,87.50000,145.45149,155.15246
53,35.814,Alpha,2235.01539,4.70061,88.00000,141.16804,153.47029
54,38.001,Alpha,2315.65325,4.52556,90.50000,151.31528,154.93517
55,38.548,Alpha,2456.32277,4.96214,88.50000,149.13719,157.23996
56,39.467,Alpha,2414.16159,4.82996,88.00000,150.37449,157.30706
57,40.627,Alpha,2284.28132,4.73089,86.00000,142.74757,153.37873
58,40.695,Alpha,2146.00819,4.55853,90.50000,140.25003,153.39845
59,43.516,Alpha,2351.81652,4.75521,90.50000,149.97567,158.05509
60,43.767,Alpha,2327.53664,4.57005,89.00000,152.09881,156.45792
61,44.064,Alpha,2446.18352,5.04303,90.00000,150.66097,161.70429
62,45.059,Alpha,2206.12071,4.47024,92.00000,149.34268,157.55613
63,45.268,Alpha,2312.83838,4.77557,88.50000,145.77273,156.57746
64,45.492,Alpha,2296.62063,4.96459,89.50000,139.88730,155.53764
65,45.663,Alpha,2329.08625,4.57712,90.00000,151.82556,156.25604
66,46.734,Alpha,2258.59863,4.51519,91.50000,149.46539,155.85743
67,47.000,Alpha,2135.40057,4.63940,89.50000,136.27754,151.31607
68,47.229,Alpha,2749.74384,5.84552,92.00000,140.24429,152.90262
69,48.148,Alpha,2404.16757,4.86156,90.50000,150.53579,158.79613
70,48.905,Alpha,1969.77271,3.83510,85.00000,150.06816,153.41508
71,49.116,Alpha,2086.60531,4.65189,91.00000,136.93076,155.96952
72,49.969,Alpha,2432.23870,4.85636,88.00000,149.27047,155.74053
73,50.705,Alpha,2223.21341,4.77156,89.50000,139.65171,154.31893
74,50.823,Alpha,2285.34736,4.58999,90.50000,149.24677,156.29029
75,51.392,Alpha,2227.15166,4.66556,87.50000,140.55519,152.37329
76,52.273,Alpha,2470.93687,5.03560,87.00000,150.89323,160.45100
77,52.571,Alpha,2234.89649,4.50167,93.50000,148.49121,155.36648
78,53.278,Alpha,2185.18315,4.88575,87.00000,133.95083,153.12354
79,53.724,Alpha,2358.92819,4.79269,88.50000,148.77274,157.71439
80,54.438,Alpha,2487.41062,5.13528,82.00000,145.22982,156.13874
81,54.678,Alpha,2336.25870,4.83081,89.00000,144.65277,155.03811
82,54.710,Alpha,2211.48545,4.69806,91.50000,141.24471,154.33705
83,56.893,Alpha,2378.85930,4.83598,87.50000,145.19808,153.68170
84,57.194,Alpha,2149.35304,4.53686,88.50000,140.15086,152.72259
85,58.647,Alpha,2225.23072,4.42811,89.50000,145.47517,151.05405
86,59.361,Alpha,2319.42865,4.65315,82.50000,143.83698,150.58458
87,59.611,Alpha,2192.67863,4.65860,87.50000,138.89220,152.02382
88,61.064,Alpha,2297.75335,4.59559,88.50000,147.35791,153.82240
89,62.479,Alpha,2287.70731,4.99192,89.50000,140.23555,157.08001
90,63.684,Alpha,2461.62318,4.98595,87.50000,146.94151,155.11167
91,63.803,Alpha,2471.71948,5.03774,85.50000,151.04273,160.87317
92,65.102,Alpha,2419.10592,4.79890,88.50000,150.88859,156.66150
93,66.287,Alpha,2320.66628,4.92931,87.00000,142.76934,157.06331
94,67.012,Alpha,1556.18432,3.06555,88.50000,146.28469,150.83289
95,68.171,Alpha,2467.91412,4.87970,88.00000,151.18171,156.43546
96,68.500,Alpha,2375.23685,4.72514,91.00000,151.62788,157.66986
97,68.844,Alpha,2278.81728,4.84526,89.00000,139.03966,152.19708
98,69.033,Alpha,2209.03947,4.60298,91.00000,145.24946,156.79490
99,69.931,Alpha,2188.81808,4.68166,90.00000,138.87902,152.63715
100,70.918,Alpha,2121.60562,4.78988,89.50000,133.43408,153.51813
101,71.002,Alpha,2399.74171,4.62421,89.50000,150.76698,152.65559
102,73.536,Alpha,2183.50116,4.62868,90.50000,141.85592,154.84454
103,73.747,Alpha,2350.07208,4.54838,87.50000,149.25111,151.68703
104,73.900,Alpha,2213.78916,4.47678,91.50000,146.84059,154.32540
105,73.944,Alpha,2378.10866,4.76190,86.00000,149.73960,156.85926
106,74.955,Alpha,2315.66479,4.73304,91.00000,148.44260,157.78684
107,75.357,Alpha,2435.86708,4.94118,88.00000,148.83090,157.40721
108,76.746,Alpha,2396.58195,4.85529,87.50000,147.77401,156.08113
109,77.223,Alpha,2386.60639,4.77251,88.50000,152.08003,159.06249
110,77.315,Alpha,2048.92712,4.11907,90.50000,149.74253,157.06255
111,78.748,Alpha,2245.96774,4.66590,89.00000,143.47392,154.37719
112,78.752,Alpha,2342.50183,4.65350,90.00000,147.47060,152.94125
113,78.968,Alpha,2414.86051,4.79340,89.50000,150.07044,155.70556
114,79.581,MidAir,2183.73944,4.47067,91.50000,141.29632,149.68103
115,81.056,Alpha,2174.03407,4.80828,92.00000,139.10418,157.12811
116,84.425,Alpha,2315.43378,4.56756,90.00000,149.48425,154.22707
117,84.936,Alpha,2377.00339,4.98890,88.00000,145.80330,158.80304
118,86.308,Alpha,2328.74671,4.58056,87.00000,148.66368,153.05873
119,86.559,Alpha,2459.99577,4.97179,83.00000,148.90333,157.17706
