# File Format Version = 2
# File Timestamp = 2/2/2018 11:03:35 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-02-01-104403.25.buf
# Measurement ID = 86
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.063,Alpha,2365.37674,4.95899,89.00000,144.28731,157.08032
2,0.353,Alpha,2353.03772,5.01556,86.50000,143.03500,158.35369
3,2.002,Alpha,2001.97193,4.35053,88.50000,137.16515,153.54382
4,2.564,Alpha,2180.00965,4.78148,89.50000,141.68038,160.83905
5,2.624,Alpha,2407.57572,5.08974,85.50000,143.86943,158.15248
6,3.199,Alpha,2188.71244,5.12996,78.00000,130.35109,156.61240
7,3.665,Alpha,2344.98391,4.77119,84.00000,148.57897,158.12935
8,5.711,Alpha,2198.70316,4.90735,89.62747,135.44334,155.09029
9,5.730,Alpha,2085.50134,4.28118,88.21800,146.55740,157.00000
10,6.973,Alpha,2161.26011,4.67001,90.50000,140.63079,156.39207
11,7.182,Alpha,2215.43443,4.83646,88.00000,135.87166,152.66899
12,7.183,Alpha,2195.65359,4.63277,89.00000,143.36328,157.02572
13,7.722,Alpha,2225.94940,5.03146,92.50000,140.92960,163.59415
14,8.882,Alpha,2309.39413,4.65880,89.00000,144.99134,152.52274
15,9.110,Alpha,2212.59062,4.84448,89.00000,143.60424,162.76383
16,10.073,Alpha,2020.51544,4.45647,91.43628,136.59767,154.14664
17,10.133,Alpha,2152.87213,4.75424,90.84338,136.40580,154.29669
18,10.257,Alpha,2274.48405,4.86965,87.50000,144.10063,160.70460
19,10.496,Alpha,2113.43276,4.66012,89.50000,138.45429,157.18050
20,10.614,Alpha,2159.56290,4.80885,90.70542,137.59751,157.33133
21,13.161,Alpha,2297.26443,4.68702,89.38192,148.64534,158.32763
22,14.033,Alpha,2178.62470,4.70618,82.00000,137.89340,154.04076
23,14.242,Alpha,2405.71734,5.03443,86.50000,145.05041,158.16408
24,14.615,Alpha,2215.16783,4.93798,86.50000,136.40194,156.56998
25,15.378,Alpha,2299.05314,4.69196,88.50000,147.14494,156.72495
26,16.273,Alpha,2456.11559,5.26853,89.00000,144.15968,160.58495
27,17.307,Alpha,2307.90214,5.07001,88.00000,139.09011,157.66546
28,17.970,MidAir,2079.98582,4.24155,90.50000,140.11820,148.14692
29,18.027,Alpha,2337.59330,4.90913,90.50000,143.51941,156.09027
30,19.155,Alpha,2197.96197,4.77123,89.50000,138.49332,154.61012
31,19.672,Alpha,2302.56762,4.86142,86.00000,142.78139,156.42169
32,19.926,Alpha,2257.67158,5.27266,90.00000,132.12417,156.77083
33,20.172,Alpha,2088.47524,4.21531,91.50000,147.16037,154.67646
34,20.499,Alpha,2380.82398,4.88328,88.50000,148.94868,159.55710
