# File Format Version = 2
# File Timestamp = 1/23/2018 12:33:00 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-114750.37.buf
# Measurement ID = 70
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.408,Alpha,2146.74427,4.74852,89.50000,133.96988,151.54757
2,0.908,Alpha,2389.08762,5.00793,89.50000,142.73218,154.94671
3,2.145,Alpha,2162.01541,4.67896,88.50000,135.83829,151.06594
4,3.842,Alpha,2203.59609,4.64122,91.50000,141.21418,153.53257
5,4.449,Alpha,2350.05124,5.02544,84.00000,139.27494,153.88965
6,4.796,MidAir,2087.37961,4.41657,91.50000,138.60820,150.84759
7,6.204,Alpha,2349.53798,4.91003,77.00000,141.04679,153.13645
8,7.097,Alpha,2494.79190,5.14727,85.00000,145.45822,156.36484
9,7.296,Alpha,1844.22068,4.07804,91.54566,137.27755,155.43760
10,7.496,Alpha,2298.50095,4.84340,88.00000,139.47911,151.92045
11,7.633,Alpha,2365.69188,4.89733,89.50000,144.73207,155.63213
12,7.822,Alpha,1999.12291,4.09703,89.11648,145.79627,155.69974
13,7.973,Alpha,2345.16152,4.97314,92.00000,143.40955,157.10114
14,10.411,Alpha,2354.90555,4.73882,86.50000,144.28765,151.49151
15,10.460,Alpha,2319.99233,4.84494,85.00000,139.37396,150.53865
16,10.875,Alpha,2340.51901,4.84243,90.00000,144.14458,154.81744
17,11.617,MidAir,2161.27687,4.36503,92.00000,143.86482,150.99732
18,13.452,Alpha,2171.70125,4.74339,80.50000,134.19955,150.93836
19,13.831,Alpha,2376.97086,5.32302,89.00000,133.94336,153.46213
20,14.000,Alpha,2436.09621,5.09590,89.00000,141.90109,153.72277
21,14.187,Alpha,2264.73977,4.91753,90.50000,138.79610,154.72181
22,14.909,Alpha,2292.29497,5.02579,89.50000,137.09233,154.17889
23,14.920,Alpha,2196.39025,4.41048,89.57603,144.83458,151.70719
24,15.517,Alpha,3449.62227,7.94953,87.00000,132.49223,154.74188
25,15.785,Alpha,2337.45497,5.03991,90.50000,141.13787,157.10850
26,15.811,Alpha,2259.47109,4.58356,89.50000,144.55781,152.73626
27,16.029,MidAir,2040.32587,4.46523,91.00000,132.39564,147.40124
28,17.007,Alpha,2292.06489,5.12648,92.00000,136.31695,155.26417
29,18.101,Alpha,2362.54562,5.02655,90.45547,140.54310,154.40541
30,19.543,Alpha,2304.54044,4.88272,91.00000,142.44973,155.56509
31,21.037,Alpha,2370.36665,4.93235,90.00000,145.16634,156.56453
32,22.104,Alpha,2310.38149,4.97126,91.00000,140.03859,155.16565
33,23.579,Alpha,2259.96220,5.05291,90.50000,142.30711,164.70637
34,23.625,Alpha,2091.39422,4.69045,88.50000,131.05127,149.59301
35,23.972,Alpha,2324.93969,4.88138,85.50000,141.16034,153.77689
36,24.861,Alpha,1974.85044,4.42040,91.69650,134.49697,153.27965
37,25.532,Alpha,2263.50547,4.83724,91.50000,139.41622,153.15047
38,26.928,Alpha,2124.32996,4.77790,84.50000,131.94316,151.57988
39,27.207,MidAir,2138.59189,4.67330,92.00000,135.56741,151.03715
40,28.071,MidAir,2100.40133,4.61950,91.00000,133.62215,149.74520
41,28.093,MidAir,2053.13455,4.37511,89.00000,133.11497,145.18513
42,28.935,MidAir,2608.62991,5.88347,91.50000,131.66272,149.80385
43,28.984,Alpha,2376.16563,4.95590,86.50000,141.35546,152.82699
44,29.654,Alpha,2517.69203,5.37829,90.00000,142.33288,157.33965
45,31.092,Alpha,2021.33929,4.07384,88.00000,144.14412,151.50002
46,31.508,Alpha,2430.77057,4.93589,88.00000,145.65649,154.21852
47,31.890,Alpha,2155.52691,5.05774,91.50000,131.71525,156.57270
48,32.079,Alpha,2373.24714,5.32038,89.50000,138.41154,159.41460
49,32.255,Alpha,3381.46465,7.15271,90.00000,140.59390,151.32230
50,34.836,Alpha,2289.20605,4.63538,90.00000,143.02556,150.62586
51,35.016,Alpha,2258.81870,4.73273,91.18994,141.00105,152.62560
52,35.044,Alpha,2226.91926,4.76842,89.50000,138.42539,152.75949
53,35.660,Alpha,2380.00574,4.84677,89.00000,144.70110,153.23441
54,36.052,Alpha,2390.15993,5.04257,91.00000,142.00312,154.85461
55,36.560,Alpha,2154.30384,4.72405,89.82247,133.65170,149.84815
56,37.917,Sidewall,0.00000,4.17670,,,
57,38.882,Alpha,2206.80482,4.64772,91.00000,141.64709,154.13261
58,38.997,Alpha,2444.67057,5.28437,91.00000,141.42274,157.55213
59,39.622,Alpha,2089.27070,4.73656,89.00000,131.44890,151.35004
60,39.756,Alpha,2240.50889,4.67421,91.50000,142.97291,154.29304
61,43.008,Alpha,2312.14617,4.81791,90.50000,143.62618,155.04738
62,44.178,MidAir,2056.58885,4.64914,90.50000,130.14185,148.60221
63,44.756,Alpha,2256.25730,5.04410,84.50000,132.83086,152.03142
64,46.347,MidAir,2072.96963,4.38270,89.50000,137.29546,149.19732
65,47.217,Alpha,2377.41686,5.07021,86.50000,140.71061,155.25408
66,47.241,Alpha,1407.91548,2.99895,86.73997,137.17078,151.29821
67,48.256,Alpha,2310.73018,4.93617,89.19214,142.54789,157.94458
68,48.392,MidAir,2190.85664,4.42384,90.00000,140.83364,147.75824
69,49.532,Alpha,2386.95137,5.05644,89.00000,142.85693,156.78991
70,50.043,Alpha,2229.10567,4.95750,90.23406,136.33268,155.53454
71,50.494,Alpha,2386.74187,4.92563,89.50000,142.93611,152.93116
72,51.852,Alpha,2013.64900,4.26475,89.31605,142.18966,156.12809
73,52.581,Alpha,2249.87524,4.83207,89.50000,136.55155,150.29779
74,53.190,Alpha,2306.37544,4.85159,88.00000,141.11549,153.78258
75,53.645,MidAir,2061.44651,4.52420,92.00000,135.56469,151.60871
76,54.074,Alpha,2291.71469,5.03777,89.00000,139.11876,157.74404
77,54.498,Alpha,2443.26448,5.06983,84.00000,142.19531,153.25685
78,55.562,Alpha,2279.26835,5.04273,90.00000,137.77787,156.53168
79,59.825,Alpha,2215.39803,4.76968,89.00000,135.88852,150.42540
80,60.642,Alpha,2063.92310,4.69187,90.87832,131.01998,150.88486
81,60.781,Alpha,2221.39324,4.85006,89.00000,135.43122,151.35271
82,61.197,MidAir,2120.98012,4.62846,90.50000,132.96222,147.74593
83,61.625,Alpha,2448.45006,5.37303,89.50000,140.58111,159.13144
84,61.894,Alpha,2288.69304,4.78365,88.00000,140.83368,152.42421
85,62.403,Alpha,2173.56079,4.82989,90.50000,133.79017,151.60796
86,64.454,Alpha,2431.70691,5.44928,81.50000,134.43214,154.61131
87,65.507,Alpha,2502.00164,5.35541,83.00000,140.03705,155.13989
88,65.667,Alpha,2286.82557,4.86498,88.00000,140.21926,154.31123
89,65.995,Alpha,2181.35406,4.89308,90.50000,132.38441,151.01261
90,66.004,Alpha,1914.61000,3.83166,87.87886,143.84356,150.35396
91,68.247,Sidewall,0.00000,5.04958,,,
92,68.354,Round,2123.42490,5.13405,90.11837,128.32799,157.24882
93,68.768,Sidewall,0.00000,2.61736,,,
94,69.302,Alpha,2344.51911,5.16419,89.00000,139.08660,157.84822
95,71.702,Alpha,3674.81911,7.83220,91.00000,140.54936,154.06558
96,72.316,MidAir,2171.19311,4.55734,91.89935,140.05841,151.53726
97,73.773,Alpha,2273.40460,4.82352,88.50000,137.52188,150.33488
98,74.940,Round,794.89895,2.14973,85.65414,104.87981,133.37325
99,75.882,Alpha,2377.68500,4.84030,88.50000,145.62187,154.53353
100,76.254,Alpha,2371.09563,5.10569,87.50000,139.37594,155.23534
101,77.493,Alpha,2338.89081,4.94337,88.50000,140.58586,153.64864
102,78.082,Alpha,2181.35207,5.21950,88.00000,127.83949,154.56448
103,78.497,Alpha,2078.34275,4.81245,92.00000,132.28755,154.65695
104,79.026,Alpha,2060.02279,4.58687,89.50000,133.26611,151.15289
105,79.278,Alpha,2141.28458,4.93340,90.50000,133.18146,156.37844
106,79.437,Alpha,2220.16096,5.00364,90.83520,134.60288,154.87612
107,79.986,Alpha,2410.10791,5.03506,82.00000,141.64082,153.66271
108,80.008,Alpha,2341.35293,5.16679,91.00000,138.80602,157.43041
109,81.178,Alpha,2442.33429,5.11889,79.00000,142.07168,154.84025
110,81.239,Alpha,2057.59937,4.76288,91.00000,133.09916,156.63166
111,81.307,Alpha,2326.11794,4.85000,88.00000,140.62724,151.92225
112,81.821,Alpha,2187.37144,4.86965,92.50000,137.33713,156.03075
113,81.848,MidAir,2122.65630,4.75152,91.00000,132.40504,150.31080
114,83.126,Alpha,2094.22840,4.59831,89.50000,138.83721,156.76590
115,83.491,Alpha,2116.93435,4.63107,89.50000,134.46874,150.43960
116,83.500,Alpha,2212.99847,4.71577,89.81807,138.14794,151.74494
117,84.657,Alpha,2432.50345,4.91906,89.00000,145.41731,153.30475
118,85.967,MidAir,1599.59995,3.18071,89.02078,143.25955,148.75331
119,86.052,Alpha,2353.03860,4.94638,87.50000,140.69119,153.32895
120,86.324,Alpha,2269.46976,4.58750,90.37045,144.23757,151.79817
121,86.389,Alpha,2433.29452,5.56764,90.50000,133.33938,154.96287
122,87.461,Alpha,1835.20401,3.86949,90.61974,142.98404,156.12413
123,87.571,Alpha,2424.22803,4.82782,88.50000,145.54193,151.38790
124,87.619,Alpha,2352.76255,5.07977,78.50000,136.50060,151.99147
125,88.023,Alpha,2234.58634,5.12394,88.50000,131.06646,152.65689
126,88.722,Alpha,2239.21259,5.07498,89.50000,133.41842,154.20475
127,88.736,Alpha,1971.81938,4.12198,84.50000,142.06468,154.64597
128,88.937,Alpha,2484.57767,5.36585,81.00000,139.63703,156.25064
129,90.007,Alpha,2303.79616,4.91350,89.00000,138.18660,151.81997
130,90.520,Alpha,2099.72072,4.75006,90.00000,132.91272,153.33038
131,92.001,Alpha,1631.65525,3.42655,90.58120,141.67381,153.92224
132,92.639,Alpha,2187.00221,4.81102,86.00000,132.59690,149.13798
133,93.036,MidAir,2101.99809,4.42325,90.00000,136.03966,147.05236
134,94.866,Alpha,2374.97353,5.10587,82.50000,139.36520,155.21581
135,95.748,Alpha,2304.44960,4.80320,91.00000,140.49546,151.33651
136,95.894,MidAir,2112.65470,4.75211,91.94123,132.25630,150.64909
137,96.495,MidAir,2162.90282,4.65724,90.96516,136.41742,150.61371
138,97.178,Alpha,2112.05370,4.72482,91.89997,135.47946,154.51739
139,98.589,Alpha,2206.62338,4.82065,90.00000,135.41458,151.27877
140,99.851,MidAir,2095.39660,4.32690,88.50000,136.30626,145.51112
141,100.825,Alpha,2293.65844,5.06437,80.00000,134.68873,152.87548
142,102.250,Alpha,2177.95685,5.09850,90.50000,131.47755,155.71263
143,102.286,Alpha,1433.95435,3.13825,89.48985,139.19686,157.24867
144,102.898,Alpha,2349.59806,4.86077,89.44627,144.13685,155.02706
145,103.988,Alpha,2238.52330,4.65601,89.90853,142.69503,153.96336
146,105.055,Alpha,2259.46887,4.95672,90.94722,136.28580,153.10116
147,105.340,Round,1669.21781,3.90851,77.50000,131.94942,161.48745
148,106.586,Alpha,2244.75941,4.84730,91.50000,141.30559,157.26204
149,108.363,MidAir,2958.94567,7.60841,88.50000,118.46386,148.33113
150,108.400,MidAir,2187.87338,4.72711,91.00000,136.48294,150.62252
151,108.580,Alpha,2291.59272,4.79481,82.50000,139.61095,151.18580
152,108.831,Alpha,2196.88557,4.92281,91.68891,135.00460,154.18119
153,109.223,Alpha,2390.71834,5.14751,89.50000,142.04361,157.94839
154,109.540,Alpha,2102.71906,4.59444,82.00000,132.94002,148.75876
155,109.618,Alpha,2376.15710,4.86483,87.00000,143.91020,153.42579
156,110.207,Alpha,2236.69680,4.89310,90.15780,135.40966,151.78497
157,110.442,Alpha,2133.26548,4.52134,91.09080,138.51236,151.11123
158,110.920,Alpha,2221.31873,4.74745,89.00000,136.49013,149.84933
159,111.245,MidAir,2066.22402,4.47500,90.00000,134.11494,148.54500
160,111.423,MidAir,2205.57120,4.69088,89.00000,136.14743,148.84029
161,112.062,Alpha,2165.54838,4.49927,89.00000,141.27962,151.81919
162,112.895,Alpha,2026.68422,4.62499,90.00000,132.84340,154.29192
163,113.426,Alpha,2220.85891,5.14019,87.00000,129.59152,152.27630
164,115.119,Alpha,2105.65621,4.55154,91.52235,141.37766,157.53853
165,115.251,Alpha,2186.33429,4.61675,90.00000,138.47972,150.42914
166,115.625,Alpha,2003.78912,4.20849,88.50000,143.06394,156.12621
167,118.294,MidAir,2311.43166,4.69247,91.58692,142.45298,150.13034
168,118.974,Alpha,2376.18494,5.12909,91.38782,141.51633,157.54934
169,119.131,Alpha,2465.04245,5.33581,86.50000,137.25102,152.91836
170,120.064,Alpha,2046.79319,4.22943,88.50000,143.20048,153.79434
171,120.447,Alpha,2325.75778,4.97517,87.00000,137.44213,151.54937
172,121.979,Alpha,2135.25343,4.55483,91.00000,143.73915,158.34059
173,122.012,Alpha,2462.94208,5.04163,78.00000,144.63820,154.39247
174,122.317,MidAir,2187.09936,4.71507,90.90614,135.34644,149.39100
175,123.116,Alpha,2348.07504,5.10914,88.50000,141.22121,158.77007
176,123.361,Alpha,2351.77323,4.71748,88.50000,146.40860,153.33770
177,123.446,Alpha,2209.19823,4.98373,89.50000,133.26070,153.24818
178,124.399,MidAir,2158.10198,4.59973,92.00000,138.36772,151.31188
179,124.697,Alpha,2261.14008,5.16758,88.00000,134.72600,157.55073
180,125.335,Alpha,2253.51938,4.97164,90.41078,135.05759,152.44407
181,125.859,Noise,2213.83548,6.76088,92.00000,113.03173,176.59132
182,126.643,Alpha,2187.60646,4.84936,88.00000,135.26266,153.72777
183,126.851,MidAir,2038.43913,4.55111,91.00000,132.60014,150.29907
184,127.489,Alpha,2092.83734,4.31665,88.00000,143.66366,154.07826
185,127.820,Alpha,2294.73980,5.04653,90.00000,137.54075,155.22067
186,128.198,Alpha,2250.60752,5.07756,90.50000,136.78332,157.95336
187,129.149,Alpha,2321.23403,5.14634,90.50000,139.42252,159.06057
188,130.310,Alpha,2241.87815,4.83645,87.50000,137.93410,153.20710
189,131.401,Alpha,2223.22055,4.74093,80.50000,136.91380,150.82307
190,132.581,Alpha,2233.91087,4.93030,88.50000,133.02881,150.10083
191,133.063,Alpha,2247.21427,5.03165,89.00000,134.37152,153.76933
192,133.133,Alpha,2429.74243,4.97722,89.50000,145.05472,154.59463
193,133.228,Alpha,2275.12236,5.04794,86.00000,135.95809,155.28390
194,133.266,MidAir,2089.67578,4.76032,92.50000,132.44365,152.40550
195,134.467,Alpha,2100.68163,4.72639,91.50000,135.62902,155.66077
