# File Format Version = 2
# File Timestamp = 1/11/2018 1:57:52 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-11-105009.83.buf
# Measurement ID = 61
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.042,Alpha,2240.04065,4.88813,88.50000,139.33532,157.10488
2,0.638,Ceiling,295.29799,0.98546,88.14680,90.54342,105.65435
3,1.181,Alpha,2391.47044,5.00126,88.00000,145.47067,158.40715
4,2.013,Alpha,2122.94870,4.67885,90.50000,140.58683,159.66178
5,2.368,Alpha,2146.39796,4.67168,86.00000,138.22773,155.62165
6,4.473,Alpha,3620.81257,7.61750,90.50000,143.83925,156.43174
7,4.570,Alpha,2281.96804,5.03579,90.50000,139.25676,158.24170
8,4.777,Alpha,2137.62363,4.97286,89.72594,133.31645,158.82051
9,5.041,Alpha,2148.19745,4.39511,82.50000,147.78994,158.22408
10,5.824,Alpha,2059.23796,4.29583,86.50000,140.22209,151.61794
11,6.167,Alpha,2176.67896,4.56764,85.50000,140.39715,152.86363
12,6.676,Alpha,2224.06797,4.56120,88.00000,145.28839,155.20771
13,6.915,Alpha,2318.65534,4.95651,87.50000,143.28166,159.14106
14,6.993,Alpha,2114.16658,4.71690,89.50000,138.40040,159.22160
15,7.513,Alpha,2100.08706,4.48405,88.50000,137.91085,151.71187
16,7.768,Alpha,2369.07768,4.85386,87.50000,145.22873,155.02355
17,9.629,Alpha,2292.97758,4.83665,89.27210,146.32789,160.71011
18,10.697,Alpha,2136.98910,4.49914,90.00000,140.94769,153.37956
19,10.741,Alpha,2238.04716,5.05357,89.09590,138.51692,161.74957
20,10.926,Alpha,2196.82082,4.78008,90.00000,139.31273,156.17569
21,14.089,Alpha,2429.11164,5.02877,85.50000,145.70498,157.32624
22,14.408,Alpha,2338.17541,5.07585,88.00000,144.14329,162.96970
23,15.519,Alpha,2253.36843,4.88787,91.00000,144.87318,162.76240
24,17.883,Alpha,2117.90874,4.66642,91.82511,139.62603,158.03582
25,19.342,Alpha,2208.92252,4.64466,87.00000,147.18568,161.32604
26,19.352,Alpha,2011.96059,4.40150,92.00000,136.33646,152.04536
27,19.436,Alpha,2099.64197,4.33610,90.46242,141.14426,151.00387
28,19.447,Alpha,2248.61222,4.62568,90.62846,145.73776,155.89900
29,19.916,Alpha,2067.56289,4.49698,91.11363,137.20155,153.03026
30,20.083,Round,2180.03413,5.31173,89.50000,129.11226,160.33247
31,20.122,Alpha,2229.17852,4.79463,89.50000,142.28854,158.55122
32,20.778,MidAir,2028.07465,4.15226,89.85638,140.68653,149.43977
33,21.304,Alpha,2261.79505,4.81702,92.19619,146.95257,162.26713
34,21.320,Alpha,2236.98312,4.87358,89.50000,143.11836,161.35106
35,21.873,Alpha,2366.73625,5.30713,90.00000,144.94349,169.06118
36,21.936,Alpha,2187.33713,4.74033,90.56074,142.73276,160.06136
37,22.021,Alpha,2090.05903,4.81128,88.00000,131.17961,153.87767
38,22.920,Alpha,2152.44405,4.43928,89.28602,147.64884,158.80117
39,24.174,Alpha,2063.88009,4.34630,90.00000,145.35060,158.88411
40,24.690,Alpha,2189.18242,4.68063,87.00000,139.42358,154.28556
41,24.826,Alpha,2034.19014,4.28100,89.97119,138.29117,150.16165
42,25.198,Alpha,2200.80297,4.79159,89.77407,141.65186,159.63329
43,25.763,Alpha,2116.74936,4.25068,89.71478,148.15277,155.42462
44,25.985,Alpha,2178.82222,4.56830,92.00000,147.05695,159.91367
45,26.818,Alpha,2231.10768,4.50160,88.50000,144.46782,151.98719
46,26.993,Alpha,2250.21892,4.86253,87.00000,142.37878,159.69467
47,27.643,Alpha,2281.01060,4.78145,87.00000,146.27333,159.73934
48,28.139,Alpha,2096.74397,4.53630,88.00000,138.00899,154.15697
49,28.652,Alpha,1916.40584,4.07394,91.03636,145.03614,159.85041
50,28.996,Alpha,2178.33848,4.44967,87.00000,142.71573,151.71794
51,29.974,Alpha,2074.91329,4.84040,89.50000,130.41009,154.56351
52,30.070,Alpha,3661.33294,7.60663,90.50000,146.64015,158.17289
53,31.212,Alpha,2146.89239,4.59609,87.50000,136.64811,150.69276
54,31.896,Alpha,2270.01114,4.64974,90.91621,147.57159,157.39463
55,32.129,Alpha,2068.33035,4.65662,90.00000,134.78249,155.30953
56,32.347,Alpha,2161.94328,4.65580,92.50000,144.22408,160.17656
57,34.391,Alpha,2121.53788,4.84065,89.00000,135.19937,158.15301
58,35.536,Alpha,2232.10371,4.78482,87.00000,140.39686,155.70059
59,36.539,Alpha,2168.53332,4.33286,77.00000,149.22243,156.41700
60,37.127,Alpha,2236.24312,4.74331,89.50000,143.82357,158.13924
61,37.221,Alpha,2296.90089,4.71152,80.00000,145.26316,155.73011
62,37.247,Alpha,2128.74489,4.53322,83.50000,137.89261,151.95525
63,38.053,Alpha,2186.89745,4.66687,88.50000,143.76317,159.14608
64,39.692,Alpha,2345.63221,4.66716,86.50000,146.94590,153.02014
65,39.818,Alpha,2258.91003,4.87845,90.50000,143.46407,160.35194
66,40.147,Alpha,2201.99314,5.01976,90.00000,136.28375,159.34305
67,40.194,Alpha,2285.86163,5.00603,90.69216,140.80816,159.11698
68,42.185,Alpha,3604.63880,7.62981,91.50000,145.53333,157.90533
69,42.256,Alpha,2315.02992,5.14231,88.00000,139.25710,159.69925
70,43.543,Alpha,2127.17147,4.67909,88.50000,137.43577,155.34471
71,43.684,Alpha,2156.24280,4.42940,88.50000,144.48280,154.38586
72,43.777,MidAir,1928.15334,4.08120,90.94775,137.82312,150.09892
73,44.972,Alpha,2339.75428,4.66928,83.00000,144.89932,151.11230
74,45.632,Alpha,2259.00139,4.89564,90.50000,144.82414,162.85524
75,45.666,Alpha,2327.55018,4.63731,81.00000,149.06309,155.66358
76,46.051,Alpha,2056.91807,4.34620,82.00000,138.92978,151.90087
77,48.271,Alpha,2293.86651,5.27843,89.50000,131.28291,153.52552
78,48.937,Alpha,2207.51168,4.77635,91.82311,143.98900,161.05503
79,52.582,Sidewall,0.00000,5.06572,,,
80,53.147,Alpha,2113.47634,4.64913,93.00000,138.38549,155.57693
81,53.748,Alpha,2243.05013,4.85735,90.00000,140.52959,156.94911
82,54.986,Alpha,2103.04994,4.45293,93.04518,142.14288,155.04914
83,55.939,Alpha,2155.62145,4.81159,90.84974,137.77525,157.91169
84,56.224,Alpha,2208.16350,4.48497,87.50000,143.01961,151.20830
85,56.487,Alpha,2372.42472,4.96757,90.50000,146.50335,159.43921
86,57.859,Alpha,2367.21542,5.18725,82.00000,139.90697,159.23620
87,57.945,Alpha,2186.35575,4.75621,87.50000,138.81137,156.16444
88,58.418,Alpha,2223.42859,4.79503,89.50000,142.61882,159.39683
89,58.503,Alpha,1200.90103,2.32232,74.91390,137.97996,140.47601
90,60.061,Alpha,2143.86067,4.60179,89.66063,141.65184,157.39902
91,60.490,Alpha,2098.22101,4.37799,90.50000,146.61733,159.03696
92,60.680,Alpha,2169.34852,4.82556,88.87297,135.30538,154.67800
93,61.307,Alpha,2190.09750,4.64448,91.00000,142.85840,156.60627
94,61.364,Alpha,2268.76446,4.71516,89.50000,143.80904,155.21932
95,61.636,Alpha,2263.44266,4.70005,88.00000,142.49761,153.64113
96,61.983,Alpha,2189.73014,4.64617,89.00000,141.74151,155.61906
97,62.284,Alpha,2049.07467,4.70286,87.00000,132.83606,156.59158
98,62.723,Alpha,2268.60050,5.12607,88.50000,137.14900,159.29222
99,64.277,Alpha,3643.16422,7.28327,89.00000,149.19756,155.67760
100,64.306,MidAir,2003.26119,5.67453,92.00000,105.10144,128.88262
101,64.541,Alpha,2288.59030,4.94639,89.34061,142.87739,160.21248
102,64.769,Alpha,2247.19546,5.04109,88.50000,139.82556,162.23749
103,65.338,Alpha,2256.97134,4.58519,88.50000,147.21961,156.05813
104,65.779,Round,1459.34401,3.31044,80.50000,133.73259,159.57032
105,66.570,Alpha,2068.69790,4.40094,88.00000,140.66671,154.92229
106,67.521,Alpha,2270.31402,4.47994,87.00000,150.22062,155.39839
107,67.877,Alpha,2184.04456,4.71149,83.00000,136.50057,151.87587
108,70.612,Alpha,2339.36588,4.71523,90.06417,150.82737,158.93190
109,71.720,Alpha,2105.17995,4.69730,90.50000,136.14665,155.09337
110,72.730,Alpha,2318.14170,4.64601,89.00000,146.11567,152.86550
111,72.785,Alpha,1904.21431,4.40360,91.62903,132.62520,155.62469
112,72.799,Alpha,2145.36444,4.60370,89.00000,139.83076,154.77201
113,73.565,Alpha,2299.82322,4.79117,91.95548,147.12302,159.13727
114,74.508,Sidewall,0.00000,2.66588,,,
115,75.006,Alpha,2142.54502,4.81060,88.00000,135.00282,155.66095
116,76.517,Alpha,2065.60321,4.29971,91.92603,144.31962,155.61424
117,76.727,Alpha,2323.58030,4.71535,76.50000,147.77569,157.02193
118,77.267,Alpha,1812.45107,3.59155,88.81431,147.84723,153.35821
119,77.583,Alpha,2452.89953,5.06057,83.50000,145.54363,156.61089
120,77.778,Alpha,1723.76199,3.58460,85.50000,145.43300,158.16823
121,78.316,Alpha,2123.58637,4.98988,88.00000,130.02157,156.25701
122,79.517,Alpha,2276.68025,4.58050,90.00000,149.80657,157.29015
123,80.149,Alpha,2413.48781,4.92209,87.50000,146.85503,156.14529
124,80.296,Alpha,2155.07150,4.67195,88.50000,137.72290,153.86522
125,81.353,Alpha,2314.99264,5.01114,89.50000,144.31951,161.79184
126,81.367,Alpha,2236.76174,4.99055,90.00000,140.21684,160.72490
127,81.446,Alpha,2261.65743,4.54103,89.00000,147.35947,154.49999
128,81.518,Alpha,2175.61103,4.89292,89.50000,137.01478,158.56803
129,82.034,Alpha,2218.36449,4.84143,88.50000,137.97141,154.90834
130,83.247,Alpha,2302.23930,4.84542,91.50000,147.86535,161.37987
131,83.700,Alpha,2211.37540,4.70216,91.83458,144.66466,159.19604
132,84.431,Alpha,2075.72247,4.30177,86.50000,147.06003,159.18822
133,84.457,Alpha,1888.74867,4.09693,84.50000,139.43373,157.42454
134,84.526,Alpha,2037.77538,4.50768,89.00000,136.87055,155.78909
135,84.956,Alpha,2050.18476,4.58613,90.00000,136.77663,156.78748
136,85.637,Alpha,2164.04279,4.78144,78.50000,133.45982,151.67692
137,87.268,Alpha,3891.49619,7.78826,87.50000,151.76636,157.41719
138,87.706,Alpha,1729.23407,3.52263,86.76263,146.00305,155.45138
139,88.907,Alpha,2002.85773,4.36752,90.87745,136.31257,152.28837
140,89.226,Alpha,2787.97199,7.55806,91.00000,116.33575,151.55750
