# File Format Version = 2
# File Timestamp = 1/23/2018 11:02:25 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-084712.43.buf
# Measurement ID = 68
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.539,Alpha,2224.24428,4.89490,89.00000,139.66564,158.61926
2,1.050,Alpha,2307.19676,5.15733,82.00000,137.71625,159.27021
3,1.443,Alpha,2245.30362,5.21976,88.00000,135.35970,161.68214
4,1.520,Alpha,2157.13822,4.77561,90.00000,136.64449,154.98315
5,2.099,Alpha,2172.45368,4.47156,89.24485,145.88600,156.41321
6,3.312,Alpha,2195.51967,4.67932,89.50000,140.27151,154.55271
7,3.352,Alpha,2262.58855,4.86721,89.00000,144.54405,161.35451
8,3.984,Alpha,2085.32840,4.52889,91.50000,139.86782,155.76698
9,4.938,Alpha,2328.97171,4.87630,89.00000,144.93208,157.80075
10,5.880,Alpha,2312.01486,4.54950,89.00000,150.75595,155.44278
11,6.428,Alpha,2184.87899,4.73862,90.00000,141.53698,158.40740
12,8.263,Alpha,1979.16280,4.50626,93.00000,134.59659,155.39554
13,10.102,Alpha,2245.48919,4.72088,83.50000,143.40925,156.88409
14,11.364,Alpha,3401.32531,7.29125,80.50000,140.43716,154.19720
15,11.994,Alpha,3425.26064,7.99899,88.50000,134.13488,158.75163
16,12.199,Alpha,2109.98975,4.95352,90.46635,131.64509,157.30589
17,12.752,Alpha,2156.59159,4.90457,79.50000,133.88871,157.52580
18,13.333,Alpha,2233.04456,4.94147,87.50000,138.40719,158.58343
19,13.848,Alpha,2916.19106,7.44833,91.50000,123.06536,156.11366
20,14.865,Sidewall,0.00000,5.18826,,,
21,15.638,Alpha,2387.02267,4.88690,89.98169,146.75657,156.52585
22,16.062,Alpha,2172.15652,4.37557,90.50000,146.90326,154.25407
23,16.750,Alpha,2394.12485,5.14014,88.00000,143.98918,160.55466
24,16.920,Alpha,2483.76588,5.00804,85.00000,149.88207,158.17562
25,16.946,Alpha,3674.21864,7.81250,90.00000,141.05613,154.22071
26,18.020,Alpha,3425.54572,7.67234,89.50000,135.48302,152.07303
27,18.725,Alpha,2468.15225,5.64804,90.50000,141.64797,168.13591
28,18.808,MidAir,1961.58309,4.10982,91.26480,139.05925,150.20877
29,19.084,Alpha,2386.87457,4.85404,90.50000,145.95972,154.51177
30,19.540,Alpha,2072.26883,4.52921,91.50000,139.72965,156.81375
31,19.579,Alpha,2240.25093,4.86582,90.50000,142.79820,160.32597
32,20.352,Alpha,2313.27950,4.59016,87.00000,148.72051,154.54664
33,20.367,Round,590.68212,2.23141,88.82276,88.99188,127.98864
34,21.010,Alpha,2365.61624,5.08084,89.50000,145.10270,161.98415
35,21.218,Alpha,2258.17780,4.98538,90.00000,143.98276,165.11919
36,21.654,Round,2019.49598,4.71654,92.67702,135.63514,161.46628
37,21.901,Alpha,2069.51773,4.64057,91.38884,136.99809,157.30021
38,22.225,Alpha,3649.98414,7.71704,90.00000,148.03047,161.26617
39,22.284,Alpha,3337.66720,8.14726,90.50000,127.85521,153.58208
40,22.591,Alpha,2198.61529,4.92888,84.50000,134.62007,155.16345
41,22.703,Alpha,3105.58829,6.01272,83.50000,159.43381,162.09550
42,22.805,Alpha,2179.75040,4.82292,88.96910,138.48701,158.25175
43,23.700,Alpha,2057.57339,4.79513,88.50000,131.56191,156.30210
44,23.989,Alpha,2132.55690,4.69414,91.00000,138.18188,155.93632
45,24.864,Alpha,2460.68403,4.86368,88.50000,150.75590,156.06742
46,25.267,Alpha,2367.16626,5.01519,87.50000,145.13156,160.05466
47,27.321,Alpha,2232.55788,4.52754,91.65673,147.35433,155.61491
48,27.329,Alpha,3135.73061,7.93187,90.00000,125.42137,158.73989
49,27.392,Alpha,2230.85849,4.93333,91.00000,137.03982,155.27203
50,27.507,Alpha,2316.17796,4.66066,89.00000,148.53103,156.10652
51,27.780,Alpha,2471.53602,5.22859,85.50000,146.62347,161.91879
52,28.919,Alpha,1167.81996,2.37982,58.53835,117.90167,127.42247
53,29.033,Alpha,978.31435,1.96059,40.36121,98.65280,105.62535
54,29.044,Sidewall,2544.12369,5.62948,83.00000,143.10553,165.34008
55,29.361,Alpha,2145.78406,4.69376,90.50000,144.66945,164.03492
56,29.706,Alpha,2178.15507,4.89438,87.50000,135.92019,157.26635
57,29.995,Alpha,2073.67767,4.50269,90.00000,138.40481,154.64790
58,30.435,Alpha,2082.36969,4.52501,89.00000,135.86518,151.40710
59,31.246,Alpha,2380.80759,4.83752,86.00000,150.28351,159.69323
60,32.441,Alpha,1628.64735,3.41202,87.88328,146.93464,160.69841
61,33.093,Alpha,2401.03964,5.06707,88.00000,144.37254,158.34909
62,34.168,Alpha,2231.32605,4.57114,90.31172,145.51696,155.10828
63,35.211,Sidewall,0.00000,4.34824,,,
64,35.866,Alpha,2340.54572,4.64416,90.50000,150.49774,156.21579
65,36.573,Alpha,2283.05554,4.82856,86.00000,146.83378,162.19634
66,36.631,Alpha,2395.17808,5.16796,79.50000,142.06236,159.50000
67,37.590,Alpha,2268.75428,4.74063,91.00000,147.86808,160.57681
68,37.634,Sidewall,0.00000,5.18666,,,
69,38.563,Alpha,2304.21272,4.88420,90.50000,144.61635,158.83514
70,40.198,Alpha,2333.88288,4.94296,90.50000,145.95747,160.41122
71,40.413,Alpha,2499.53063,5.05812,80.00000,150.32599,159.21451
72,40.727,Alpha,2244.91441,4.85097,85.50000,139.62039,156.34625
73,42.530,Alpha,2140.57938,4.57251,80.00000,139.19895,153.93682
74,42.976,Alpha,2221.35345,4.95704,89.00000,136.54370,156.60859
75,43.280,Alpha,2373.29186,5.07001,89.50000,144.36561,160.16795
76,43.599,Alpha,2332.60214,4.99383,78.50000,141.80271,157.84245
77,45.197,Alpha,2368.01427,4.85530,91.00000,150.66192,161.10128
78,45.923,Alpha,2317.09625,5.11102,79.00000,137.54119,157.30473
79,46.082,Alpha,2079.01895,4.59280,90.75985,136.67127,154.75448
80,46.307,Alpha,2373.75678,4.80352,89.26577,150.42586,159.17259
81,46.575,Alpha,3505.74843,7.79463,84.50000,137.33680,156.30228
82,49.010,Alpha,2222.27864,4.56583,89.00000,141.25701,150.53325
83,49.017,Alpha,2132.68000,4.68208,91.00000,139.18329,157.08723
84,49.325,Alpha,2265.31675,4.69104,88.00000,146.24974,157.71218
85,50.545,Alpha,2066.25337,4.82997,90.50000,131.59082,156.05508
86,51.153,Alpha,1984.10513,4.39429,88.00000,134.88166,152.90869
87,51.311,Alpha,2303.73766,4.91771,80.00000,141.27057,156.63589
88,51.637,Alpha,2206.82955,4.62528,90.00000,146.85149,160.11127
89,51.688,Alpha,2265.43295,4.55949,90.50000,150.86392,158.64338
90,51.825,Alpha,2154.55384,4.57572,88.99242,145.31418,160.60606
91,51.945,Alpha,2270.31491,4.79154,87.00000,143.10428,156.93409
92,52.056,Sidewall,0.00000,4.31106,,,
93,52.616,Alpha,2191.94966,4.87559,91.62313,140.77350,161.27159
94,52.759,Alpha,2263.71975,4.74477,80.50000,140.86567,153.45397
95,52.918,Alpha,1880.31313,3.98873,79.00000,146.55733,163.38677
96,53.724,Alpha,2053.37905,4.70950,87.50000,130.77779,153.09777
97,53.955,Sidewall,0.00000,3.34646,,,
98,54.103,SlowHigh,2297.02408,5.02003,72.50000,139.44135,157.97134
99,55.000,Alpha,2445.04011,5.47003,87.50000,140.38932,162.78520
100,55.250,Alpha,3395.63236,7.21978,89.00000,141.46474,153.73135
101,55.363,Alpha,2342.62192,5.30076,88.00000,139.78448,164.33803
102,55.464,Alpha,2111.42070,4.70087,91.50000,137.28991,156.45437
103,56.352,Alpha,2097.65108,4.85705,89.50000,130.90691,153.94076
104,56.643,Alpha,2075.36759,4.68855,87.00000,134.07477,155.72027
105,56.879,Alpha,2295.35742,4.95865,88.50000,143.23660,160.67404
106,56.947,Alpha,2322.44693,5.21251,88.79878,142.49067,166.56512
107,57.632,Alpha,2195.46221,4.74561,88.50000,138.35766,154.12880
108,59.227,Alpha,2214.83952,4.77915,88.50000,141.82787,158.52733
109,59.525,Alpha,2342.16710,4.81835,89.00000,145.77831,156.10485
110,59.545,Alpha,2190.88470,4.63493,89.50000,140.00192,153.03639
111,59.603,Alpha,2157.51509,4.79882,89.50000,136.92981,156.45522
112,59.953,Alpha,2116.28958,4.71708,89.50000,135.78747,155.25971
113,61.458,Alpha,2403.12598,5.23197,87.00000,143.64453,162.46729
114,62.128,Alpha,2214.81702,5.04353,89.93295,133.01254,154.60734
115,63.532,Alpha,2205.69605,4.55609,91.02136,146.09159,156.83553
116,63.969,Alpha,2323.71328,4.76387,86.00000,145.23555,155.21818
117,66.696,Alpha,2196.29128,4.68186,89.00000,141.73264,156.11893
118,67.611,Alpha,3011.06513,7.39295,91.50000,127.22431,155.03460
119,68.070,Alpha,2343.59420,4.94514,90.13534,145.76639,159.84435
120,68.269,Alpha,2148.79539,4.57651,87.00000,139.87869,154.19624
