# File Format Version = 2
# File Timestamp = 2/2/2018 11:10:28 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-30-101908.85.buf
# Measurement ID = 82
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.585,Alpha,2380.77019,5.00287,91.19487,145.75402,158.92872
2,1.161,Error,0.00000,5.00287,,,
3,1.443,Alpha,2252.89005,4.93156,90.00000,142.04110,160.62656
4,2.265,Alpha,2364.70853,5.04476,83.00000,140.73747,155.73021
5,3.292,Alpha,2164.69992,4.47838,88.00000,140.83125,151.08581
6,3.608,Alpha,2277.68683,5.04022,88.00000,138.95814,158.96896
7,5.028,Alpha,2194.80025,4.82019,88.00000,137.81097,156.05185
8,5.482,Alpha,2322.56719,4.69754,91.00000,148.02617,156.08729
9,6.094,Alpha,2091.14180,4.54275,90.00000,136.43747,151.80709
10,7.183,Alpha,2448.58655,5.26177,89.00000,140.67393,156.29892
11,8.534,Alpha,2058.74784,4.72949,91.50000,133.42023,155.72015
12,9.461,Alpha,1950.06503,4.00725,85.50000,147.67733,158.69078
13,9.498,Alpha,2098.45411,4.59034,84.00000,135.06008,151.88076
14,9.917,Alpha,2239.87638,4.91529,88.50000,139.12220,157.47951
15,10.938,Alpha,2388.37263,5.31809,84.50000,138.08170,158.85713
16,11.082,Alpha,2196.36274,4.71709,88.50000,139.87552,154.82357
17,11.180,Alpha,2168.85527,4.74508,90.50000,139.42519,156.97855
18,12.530,Alpha,2192.62115,4.72634,89.00000,139.45612,155.27155
19,13.264,Alpha,2076.19031,4.53855,86.00000,135.86977,152.75594
20,13.751,Alpha,2176.67812,5.01603,85.50000,131.67200,155.45685
21,13.975,Alpha,2230.12683,4.87924,91.46320,145.00795,164.40221
22,14.673,Alpha,2245.17004,4.91373,79.50000,138.63490,157.24764
23,15.977,Alpha,2111.46051,4.60965,88.50000,136.89752,153.78919
24,16.860,Alpha,1975.74450,4.43006,92.21536,136.88706,156.76318
25,17.626,Alpha,2148.37039,4.88289,88.50000,135.60053,158.21854
26,18.311,Alpha,2181.05173,4.43373,82.50000,146.64479,155.93500
27,18.598,Alpha,2234.11407,4.72562,81.50000,140.40068,154.26571
28,19.946,MidAir,1962.94235,4.29059,90.50000,134.21162,149.84439
29,20.549,Alpha,2205.16140,4.67172,90.50000,142.95542,156.71008
30,21.086,Alpha,2397.43874,4.95478,87.50000,146.18199,157.16878
31,21.489,Alpha,2164.90152,4.41511,90.50000,144.50708,153.05966
32,22.448,Noise,0.00000,4.41511,,,
33,22.448,Error,0.00000,4.41511,,,
34,22.452,Noise,0.00000,4.41511,,,
35,22.453,Error,0.00000,4.41511,,,
36,22.459,Noise,0.00000,4.41511,,,
37,22.459,Error,0.00000,4.41511,,,
38,23.259,Alpha,2359.51631,4.91415,91.00000,145.65450,157.23366
39,25.068,Alpha,2308.04271,5.11463,90.46189,141.49967,162.13497
40,25.909,Alpha,2152.41698,4.67164,91.15913,140.01057,156.46393
41,26.130,Alpha,2375.65250,4.87260,87.50000,146.56914,156.73069
42,26.966,Alpha,2156.48785,4.96555,90.00000,134.09450,157.82246
43,27.622,Alpha,2398.96925,5.06672,89.43156,146.70830,161.35414
44,27.754,Alpha,2320.97847,4.81786,90.00000,147.13660,158.89413
45,29.526,Alpha,2121.31828,4.68659,89.50000,134.55351,152.00000
46,29.743,Alpha,2329.06686,4.98204,89.50000,141.05040,155.88910
47,30.232,Alpha,2167.31663,4.62877,89.50000,137.87768,151.63102
48,30.269,Alpha,2225.35754,4.84391,88.50000,138.68890,155.53879
49,32.031,Alpha,2328.06633,4.79357,80.00000,142.06911,152.38475
50,32.548,Alpha,2344.51808,5.00582,86.50000,143.94448,159.80341
51,33.428,Alpha,2050.35296,4.52169,88.96241,135.06775,152.96346
52,33.754,Alpha,2249.96932,4.78332,90.00000,144.90655,159.47766
53,34.078,Alpha,2276.41584,4.63356,90.00000,144.48729,152.97832
54,34.616,Alpha,2119.21809,4.86323,90.00000,133.57983,156.63767
55,34.645,Alpha,2043.56706,4.68749,90.88526,133.20196,155.58562
56,35.074,Alpha,2230.53670,4.75223,91.00000,143.43482,157.57854
57,35.571,Alpha,2165.95142,4.80976,84.50000,135.06157,154.35904
58,36.282,Alpha,2151.66629,4.66896,90.50000,138.79188,154.71362
59,36.715,Alpha,2478.53123,5.28697,86.50000,143.69446,159.41980
60,37.200,Alpha,2004.41966,4.52708,85.00000,130.82112,150.64384
61,38.630,Alpha,2271.45930,4.76534,87.00000,140.75522,152.87599
62,39.081,Alpha,2231.15217,4.62142,89.50000,144.87374,155.82876
63,39.125,Alpha,1763.40275,3.72117,88.56695,145.26860,159.62914
64,40.040,Alpha,2133.28681,4.79978,84.50000,134.14352,155.42717
