# File Format Version = 2
# File Timestamp = 1/26/2018 11:06:51 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-26-100635.18.buf
# Measurement ID = 79
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.475,MidAir,2104.36588,4.48574,90.50000,137.23450,149.81883
2,0.593,Alpha,2225.62081,4.73629,91.00000,140.14977,153.59111
3,1.329,Alpha,2264.46639,4.82397,91.00000,143.23292,157.07429
4,1.871,Alpha,2321.90152,4.96042,82.50000,139.21499,153.60506
5,2.216,Alpha,2302.29565,4.80949,87.50000,142.29220,153.92350
6,3.079,Alpha,2294.81822,4.52079,88.50000,148.21286,152.83770
7,3.139,Alpha,2184.45575,4.28620,88.00000,151.34631,155.65846
8,3.838,Alpha,2357.34517,4.87438,89.00000,143.16002,153.45353
9,4.049,Alpha,2361.65483,4.72307,86.00000,149.01066,155.69488
10,4.211,Alpha,2331.95777,4.73175,87.50000,145.44751,153.61857
11,4.441,Alpha,2152.16999,4.82711,92.50000,134.60752,152.84582
12,4.889,Alpha,2257.51359,4.70856,86.00000,140.65092,151.87250
13,5.017,Alpha,2416.29448,4.91284,89.00000,147.20786,155.92241
14,5.390,Alpha,2228.56075,4.52958,88.50000,141.56622,149.33418
15,5.891,Alpha,2407.36197,5.00502,88.50000,145.96785,157.64853
16,6.631,Alpha,2149.84341,4.64248,90.00000,137.22850,151.78474
17,8.250,Alpha,2294.58688,5.12944,88.50000,134.51359,153.81133
18,8.396,Alpha,2006.68179,4.06387,85.50000,147.34973,155.70425
19,8.584,Alpha,2299.87791,4.54670,89.00000,149.34056,154.43735
20,8.951,Alpha,2227.64284,4.71636,89.00000,139.73323,152.29008
21,9.905,Alpha,2206.66362,4.47818,88.50000,141.58418,149.30010
22,10.559,Alpha,2328.86064,4.60605,88.00000,148.44820,153.54409
23,10.869,Alpha,2422.50314,4.80605,86.50000,149.61102,155.17227
24,10.984,Alpha,2255.62378,4.74963,89.50000,144.53137,157.67495
25,11.889,Alpha,1124.53084,2.20004,53.50000,115.30246,119.29544
26,12.643,Alpha,2261.95452,4.48412,89.50000,150.61067,156.14972
27,13.241,Alpha,2514.33352,5.00453,89.00000,153.10151,159.38390
28,13.244,MidAir,2147.78221,4.57166,89.50000,136.41828,149.10748
29,13.814,Alpha,2177.39243,4.29158,90.50000,150.15172,154.78526
30,14.954,Alpha,2384.51029,4.75109,90.00000,150.03034,156.16838
31,15.275,Alpha,2320.58867,4.59950,91.00000,148.96800,154.27382
32,18.412,Alpha,2190.31895,4.85195,90.00000,136.08518,153.69216
33,18.536,Alpha,2151.83474,4.60839,88.50000,137.05403,150.74711
34,18.722,Alpha,2316.86104,4.60993,90.50000,147.04298,152.60697
35,18.899,Alpha,2455.35261,4.87654,79.50000,150.15809,156.17866
36,20.294,Alpha,2234.17803,4.52393,89.50000,143.42998,150.87317
37,20.818,Alpha,2441.86850,4.81669,88.50000,150.03260,154.89372
38,21.482,Alpha,2476.90534,5.01489,87.00000,146.61084,154.68018
39,21.660,Alpha,2390.21779,4.92189,89.00000,147.80268,158.11379
40,21.859,Alpha,2335.08727,4.64588,91.50000,148.06416,153.62450
41,22.114,Alpha,2177.26183,4.46927,86.50000,139.72060,148.47819
42,22.323,Alpha,2233.16603,4.69338,89.50000,141.05306,153.20593
43,24.129,Alpha,2423.37981,4.72142,81.00000,150.79689,154.21786
44,24.613,Alpha,2262.71650,4.71860,90.00000,143.43750,154.62397
45,24.680,Alpha,2332.31106,4.60715,90.50000,151.58545,156.68545
46,24.712,Alpha,2323.52397,4.92559,88.50000,141.77204,155.26626
47,25.151,Alpha,2211.43455,4.74120,89.50000,137.45983,151.27513
48,26.072,Alpha,2333.43419,4.92520,87.50000,142.60955,155.82763
49,28.083,Alpha,2332.47386,4.70737,88.00000,147.99033,155.84828
50,28.702,Alpha,2308.33594,4.69621,89.50000,145.44479,153.89202
51,28.783,Alpha,2260.41339,4.88266,89.50000,137.31504,152.16002
52,29.164,Alpha,2289.16258,5.01111,88.50000,135.88466,152.13631
53,29.166,Alpha,2168.71659,4.70449,90.50000,140.67725,156.88803
54,29.280,Alpha,2231.66020,4.56397,89.00000,141.95993,150.61055
55,29.366,Alpha,2433.83694,4.87730,88.00000,151.16433,158.29962
56,29.727,Alpha,2273.66188,4.55908,92.00000,149.97977,156.54847
57,30.607,Alpha,2391.94408,4.74768,89.50000,151.38431,157.08995
58,31.788,Alpha,2292.34786,4.65600,86.50000,149.22476,158.28700
59,32.125,Alpha,2375.83192,4.77132,90.50000,149.67269,156.72527
60,32.154,Alpha,2172.03270,4.59284,89.50000,138.38978,150.75080
61,32.990,Alpha,2336.33333,4.70938,88.00000,144.32949,151.39897
62,33.114,MidAir,2260.41632,4.31336,91.00000,149.48446,150.15767
63,33.336,Alpha,2248.78081,4.63733,89.00000,143.71563,153.78710
64,34.515,Alpha,2311.51915,4.70429,85.00000,144.17542,152.77824
65,34.552,Alpha,2223.99035,4.83804,90.00000,138.39386,154.47351
66,36.878,Alpha,2314.49756,4.58863,87.50000,147.59188,152.87500
67,37.898,Alpha,2385.50004,4.77054,87.50000,148.20202,154.83245
68,38.334,Alpha,2510.64310,4.93970,84.00000,148.34520,152.89263
69,38.961,Alpha,2442.69590,5.00972,88.50000,144.36126,153.80898
70,39.169,Alpha,2424.99183,5.06891,87.50000,144.26495,156.42930
71,39.686,Alpha,2330.32900,4.57784,89.00000,150.94425,155.34551
72,40.773,Alpha,2273.93858,4.66496,87.50000,142.25386,151.44223
73,40.809,Alpha,2458.86142,4.74353,89.50000,152.22753,154.32338
74,41.718,Alpha,2153.53853,4.33448,88.00000,142.24194,148.84471
75,42.744,Alpha,2405.55758,4.73968,85.50000,148.04970,152.70859
76,42.932,Alpha,2361.65109,4.82874,90.50000,147.76293,157.05161
77,43.438,Alpha,2263.55217,4.68754,89.00000,144.60450,155.15119
78,44.059,Alpha,2243.99123,4.71122,89.00000,140.58054,152.20265
79,44.655,Alpha,2385.24824,4.77397,88.50000,148.70155,155.48937
80,45.538,Alpha,2285.27091,4.88188,87.50000,137.96982,151.77255
81,45.547,Alpha,2340.45783,4.58693,89.50000,146.81176,150.59273
82,45.971,Alpha,2384.47469,4.78481,88.50000,147.77455,154.70410
83,46.150,Alpha,1939.27279,3.78486,87.00000,150.77052,154.45330
84,48.192,Alpha,2309.29781,4.67206,88.50000,145.60525,153.34300
85,48.513,Alpha,2362.76164,4.67251,89.00000,149.91947,155.04425
86,48.561,Alpha,2296.63132,4.77983,92.00000,143.47311,154.24873
87,49.166,Alpha,2287.01966,5.03473,90.50000,141.31447,159.73892
88,49.898,Alpha,2487.20152,4.92612,85.50000,149.90113,155.40725
89,50.322,Alpha,2279.39327,4.90718,87.00000,137.23723,151.88511
90,50.323,Alpha,2251.86028,4.93863,89.50000,136.19706,152.88884
91,50.444,MidAir,2221.31728,4.49236,90.00000,142.39842,149.58388
92,51.044,Alpha,2344.29197,4.73811,88.50000,146.22558,153.91380
93,51.201,Alpha,2170.21273,4.77456,90.00000,137.19014,154.29500
94,52.553,Alpha,2333.35570,4.65287,89.50000,152.73282,159.30675
95,53.022,Alpha,2367.34665,4.75448,89.00000,147.21618,154.21124
96,53.063,Alpha,2273.65708,4.87754,82.50000,135.92657,150.03081
97,53.327,MidAir,2137.93164,4.59810,91.50000,137.28202,150.93637
98,53.985,Alpha,2346.84167,4.78002,88.50000,144.65851,153.17999
99,54.651,Alpha,1467.51066,2.91505,87.56664,147.43962,153.36140
100,54.973,Alpha,2324.38855,4.76651,89.50000,144.74578,154.16585
101,55.993,Alpha,2394.96722,4.75001,88.50000,148.26526,153.76761
102,56.006,MidAir,2097.13746,4.37085,91.00000,139.31495,149.58883
103,56.297,Alpha,2236.37117,5.00754,89.00000,135.45056,154.76372
104,56.328,Alpha,2242.70943,5.01246,88.00000,135.94037,155.77993
105,56.658,Alpha,2476.21798,5.11891,83.50000,146.73057,158.09633
106,57.747,Alpha,2427.40636,5.02773,87.50000,144.20010,154.71112
107,57.856,Alpha,2190.54912,4.38523,89.00000,144.87200,151.15392
108,57.965,MidAir,2175.33813,4.45946,92.00000,142.59828,151.35145
109,58.098,Alpha,2355.85086,4.76545,88.00000,143.11361,150.56133
110,58.905,Alpha,2327.39463,4.80985,88.00000,144.16243,154.75853
111,59.763,Alpha,2290.68175,4.69136,87.50000,142.89724,151.91555
112,59.775,Alpha,1501.57198,2.92627,79.00000,142.43794,145.89476
113,60.485,Alpha,1763.56526,3.55616,87.00000,145.90170,153.58762
114,60.842,Alpha,2385.70526,4.83655,84.50000,143.64725,151.60977
115,62.442,Alpha,2367.66522,4.87970,88.00000,144.50879,154.67050
116,62.882,Alpha,2479.34882,4.88817,89.50000,151.91726,156.78925
117,63.471,Alpha,2331.58816,4.71027,90.00000,145.39556,152.64208
118,63.817,Alpha,2407.20364,4.68979,89.00000,150.64638,153.92335
119,63.868,Alpha,2235.74567,4.72712,89.50000,138.44439,150.79332
