# File Format Version = 2
# File Timestamp = 1/24/2018 9:37:21 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-24-083709.03.buf
# Measurement ID = 74
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.265,Alpha,2228.20976,4.66254,88.50000,140.47432,152.11956
2,2.410,Alpha,2280.83789,4.89948,87.00000,137.42327,152.18049
3,2.676,Alpha,2139.32738,4.79659,91.06421,136.75654,157.07799
4,2.729,Alpha,2086.83587,4.55992,89.00000,134.87920,150.89191
5,3.360,Alpha,2356.35317,5.24009,82.00000,137.67618,157.88846
6,3.648,Alpha,2248.84472,4.76850,87.00000,141.31799,155.37726
7,4.396,Alpha,2472.95808,5.27184,90.50000,145.95616,161.44635
8,4.535,Round,1992.96848,4.77883,91.89695,128.27984,154.38315
9,6.024,Alpha,2329.97221,4.84029,89.00000,144.52957,156.07281
10,6.743,Alpha,2280.19237,4.78850,90.00000,142.46425,154.96635
11,6.831,MidAir,2220.14283,4.69468,93.00000,140.26899,152.45734
12,7.764,Alpha,2230.61578,4.82533,91.05960,138.42350,153.88805
13,7.822,Alpha,2327.30065,4.72518,91.00000,150.44607,159.35154
14,8.145,Alpha,2180.62649,4.77936,89.50000,138.31277,156.09675
15,12.356,Alpha,2345.64445,4.82468,89.84955,144.31430,154.33896
16,13.055,Alpha,2246.77367,4.96393,78.00000,137.69177,157.18533
17,13.275,Alpha,2123.09190,5.03279,90.50000,129.53875,155.24450
18,14.018,Alpha,1985.66013,4.13938,88.00000,144.51286,156.84350
19,14.120,Alpha,1985.25969,4.41258,89.00000,134.76142,153.14384
20,14.519,Alpha,2406.02981,5.19735,80.50000,142.43332,159.87615
21,15.123,MidAir,2107.30934,4.48792,89.50000,136.20718,149.22554
22,16.079,Alpha,2359.22568,5.29934,90.50000,142.23761,165.31200
23,16.128,Alpha,2248.33393,5.00903,90.50000,136.59860,155.93254
24,16.798,Alpha,2316.25065,5.19126,90.26729,142.46715,165.61179
25,17.232,Alpha,2339.45417,4.73808,88.00000,145.64607,153.76096
26,18.513,Alpha,2362.42594,5.55576,91.00000,137.17269,166.27922
27,19.705,Alpha,2112.66059,4.88421,89.45830,132.03349,155.86873
28,19.941,Alpha,2360.88040,5.01292,88.50000,141.84546,155.79521
29,19.973,Alpha,2299.87078,5.00264,89.00000,139.38104,156.10706
30,20.528,Alpha,2085.51285,4.65876,92.50000,135.20072,153.17002
31,20.547,Alpha,2162.13686,4.70174,90.30430,138.87349,155.52384
32,23.799,Alpha,2070.99967,4.71605,93.00000,134.40357,155.12972
33,26.483,Alpha,2195.01673,4.76247,91.00000,140.64512,157.20937
34,26.931,Alpha,2318.79798,4.74612,90.00000,145.05623,154.31123
35,27.465,Alpha,2067.24284,4.65428,81.50000,132.20712,152.43415
36,27.952,Alpha,2409.48602,4.68523,87.50000,149.47904,152.59573
37,28.622,Alpha,1792.39911,3.71242,80.00000,144.21925,156.01936
38,29.939,Alpha,2207.70859,5.00986,90.00000,135.28334,156.94243
39,30.866,MidAir,2050.80058,4.15550,91.11280,141.13375,148.45044
40,31.595,Alpha,2178.84516,4.62399,90.00000,138.58041,151.34995
41,32.447,Alpha,2139.41234,4.69524,90.50000,137.04112,153.85843
42,32.998,Alpha,2383.78382,5.24453,88.00000,139.17085,158.08397
43,33.473,Alpha,2278.14477,4.79272,86.50000,141.76294,154.62304
44,33.511,Alpha,2398.94602,4.90045,87.00000,145.41713,154.68047
45,33.868,Alpha,2312.02139,5.08279,89.00000,135.97782,153.28376
46,34.719,Alpha,2286.41183,4.82202,90.50000,143.22177,156.39009
47,36.529,Alpha,2179.03559,4.96052,89.89041,135.52351,158.34580
