# File Format Version = 2
# File Timestamp = 2/2/2018 11:12:21 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-30-113028.28.buf
# Measurement ID = 83
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.029,Alpha,2376.92214,4.83911,90.50000,150.54293,159.68284
2,0.484,Alpha,2263.73235,4.53618,91.50000,146.76222,153.09019
3,1.017,Alpha,2179.57553,4.74245,91.00000,137.97377,153.84826
4,1.989,Alpha,2409.45512,4.83224,87.00000,146.52831,153.40106
5,2.107,Alpha,2312.18254,5.05301,91.00000,141.64090,159.33918
6,2.132,Alpha,2237.91505,4.91202,89.00000,136.80438,153.44206
7,2.484,Alpha,2107.45805,4.55101,89.00000,136.85840,151.72230
8,2.530,Alpha,2419.01962,4.90968,87.00000,146.38148,154.77140
9,4.611,Alpha,2161.90738,4.39595,89.50000,149.54974,158.32748
10,4.643,Alpha,2271.73070,4.47042,89.50000,154.38763,159.19220
11,5.049,Alpha,2166.96050,4.78769,89.00000,135.78623,153.71331
12,5.242,Alpha,2208.48286,4.65342,89.50000,139.63478,151.72949
13,5.354,Alpha,2388.59356,4.70307,89.00000,149.54617,154.08968
14,6.023,Alpha,2447.31731,4.88249,88.50000,149.84915,156.33123
15,6.198,Alpha,2369.51963,4.78430,84.50000,147.70208,155.68011
16,6.610,Alpha,2212.62387,4.71035,91.00000,139.63053,152.76441
17,6.902,Alpha,2311.94326,4.79038,86.00000,142.94420,153.68535
18,7.383,Alpha,2338.80173,4.71047,90.50000,147.49278,154.69149
19,7.810,Alpha,2363.93431,4.63935,86.00000,146.93727,151.07571
20,8.086,Alpha,2171.56143,4.79613,91.00000,137.21127,155.11890
21,8.201,Alpha,2333.54135,4.89307,89.00000,143.72140,155.93266
22,8.307,Alpha,2413.10933,4.77777,88.50000,151.96876,157.55594
23,10.056,Alpha,2445.76947,4.66717,88.00000,154.00808,154.76540
24,10.249,Alpha,1675.62156,3.42034,83.00000,140.89230,149.77375
25,10.693,Alpha,2245.41003,4.79159,91.00000,141.29110,155.41556
26,11.042,Alpha,2292.92895,4.69817,87.00000,141.85973,150.85715
27,11.737,Alpha,2202.05223,4.41059,90.50000,150.83089,157.74736
28,11.946,Alpha,2168.78981,4.72269,88.50000,137.07876,153.39356
29,12.001,Alpha,2228.16667,4.61226,90.00000,142.54176,152.87197
