# File Format Version = 2
# File Timestamp = 1/11/2018 12:52:53 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-11-122212.47.buf
# Measurement ID = 62
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.355,Alpha,2345.37825,4.81855,87.50000,141.68694,151.09058
2,2.551,Alpha,2163.07582,4.91773,89.00000,130.35663,150.57651
3,3.070,Alpha,2189.41189,5.04847,82.00000,128.71726,151.18963
4,4.200,Alpha,2170.59027,4.76109,92.00000,138.71746,155.85708
5,4.955,Alpha,2160.26758,4.93878,91.50000,132.63444,153.68695
6,6.045,Alpha,2222.22250,4.79136,91.50000,139.50083,154.67483
7,7.011,Alpha,2323.77483,4.70812,89.00000,146.42660,154.54350
8,7.087,Alpha,2224.75815,4.62161,90.50000,140.27444,150.72066
9,8.372,Alpha,2137.63582,4.65668,88.50000,135.40798,151.07514
10,9.491,Alpha,2305.88626,5.05341,88.00000,136.65483,153.95403
11,9.749,MidAir,2090.95316,4.62966,91.50000,133.24736,149.87375
12,10.559,Alpha,2186.94857,4.73043,91.48214,138.54081,153.89216
13,12.109,Alpha,2223.39537,4.98780,83.00000,132.11566,151.67240
14,12.160,Alpha,2210.09329,4.80998,89.50000,135.77234,151.59288
15,12.515,MidAir,2110.82330,4.62415,90.50000,133.20322,148.77656
16,15.154,Alpha,2434.80828,5.40867,85.50000,137.14938,156.97565
17,15.165,Alpha,2288.37157,4.57472,91.36821,145.81094,152.00566
18,15.385,Alpha,2092.56447,4.63708,88.00000,131.62354,148.59991
19,16.259,Alpha,2267.03093,4.76707,88.00000,137.44926,149.19666
20,16.630,Alpha,2295.55521,4.83105,89.50000,140.38066,152.83949
21,16.853,Alpha,2233.35033,4.96867,88.00000,133.51264,151.86234
22,16.979,Alpha,1818.00258,3.80052,89.50000,141.08026,152.77070
23,18.479,Alpha,2168.52031,4.83466,92.95369,136.95648,155.65851
24,19.611,Alpha,2276.78308,4.67608,91.00000,142.33752,151.41640
25,21.103,MidAir,2196.07238,4.66544,89.00000,135.82774,148.27787
26,21.216,Alpha,2294.89343,4.71246,85.00000,144.80461,154.89577
27,22.374,Alpha,2153.05501,4.53753,89.50000,141.60655,154.16956
28,22.492,MidAir,2099.30434,4.67768,90.50000,132.02094,149.57319
29,22.562,Alpha,2355.71416,5.24391,89.81897,138.40505,158.79668
30,24.425,Alpha,2296.15141,5.08466,89.00000,135.96367,154.48815
31,24.858,Alpha,2134.51484,4.33562,89.62628,145.03628,153.47256
32,25.225,MidAir,2122.77435,4.62241,91.68233,135.62916,150.88278
33,25.886,Alpha,2107.61021,4.69964,91.00000,133.86833,151.81095
34,26.445,Alpha,2181.04453,4.96012,90.00000,132.26119,153.11255
35,27.808,Alpha,2269.49419,5.08317,91.00000,133.99545,152.93411
36,28.489,Alpha,2289.15362,4.68071,88.00000,142.08986,151.08502
37,28.660,Alpha,2369.96106,5.09568,77.50000,139.89684,156.07877
38,29.309,Alpha,2091.98865,4.76515,92.24802,132.39085,152.55549
39,29.481,MidAir,2130.05237,4.76381,89.78469,130.39520,148.09807
40,31.886,Alpha,2335.47396,5.19877,90.50000,137.42079,156.70937
41,31.987,Alpha,2150.17172,4.58395,78.50000,134.97427,148.40918
42,32.092,Alpha,2133.21952,4.76080,91.22519,133.87321,152.14959
43,32.142,Sidewall,0.00000,3.99342,,,
44,32.495,Alpha,2227.93662,4.49076,91.00000,144.32884,151.36097
45,32.676,Sidewall,0.00000,1.53978,,,
46,32.944,MidAir,2137.06960,4.61989,90.60242,134.05090,148.14789
47,33.055,MidAir,3685.76972,7.87526,91.00000,135.23933,146.64296
48,33.548,Alpha,2429.26145,5.34082,86.00000,136.99515,154.82494
49,33.556,Alpha,2400.79424,4.87557,76.00000,143.80701,152.44809
50,34.322,Alpha,2338.72577,4.96225,89.00000,138.26842,151.41991
51,35.552,Alpha,2312.98969,4.99814,77.50000,137.00351,152.47305
52,36.803,Alpha,2215.66404,4.62551,90.50000,140.56726,151.69258
53,37.280,MidAir,1058.83246,2.11830,89.31048,141.28115,147.28545
54,37.312,MidAir,2316.93339,4.60795,89.00000,142.71012,148.06111
