# File Format Version = 2
# File Timestamp = 1/11/2018 1:55:41 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-11-132528.54.buf
# Measurement ID = 64
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.153,Alpha,2264.14691,4.84407,86.00000,137.20195,151.22570
2,0.308,Alpha,2374.98861,5.13845,76.00000,139.24662,156.12487
3,1.085,Alpha,2232.60399,4.72068,83.00000,137.97767,150.72585
4,3.376,Alpha,2110.85631,4.71053,87.00000,131.13157,149.11831
5,4.351,MidAir,2110.53097,4.76701,89.00000,129.97185,148.92170
6,4.747,Alpha,2223.66875,4.77817,79.50000,134.98299,149.34049
7,4.928,MidAir,2084.40362,4.35849,91.50000,138.29525,148.81148
8,7.164,Alpha,2069.73360,4.87607,90.80728,128.04108,151.80320
9,7.555,Alpha,2169.78544,4.75302,85.00000,132.84541,148.81638
10,7.841,Alpha,2349.43487,4.96307,90.00000,141.13631,153.95476
11,8.243,Alpha,2317.24966,4.86462,90.25502,141.18675,153.34701
12,9.381,Alpha,2096.12558,4.81928,91.00000,132.07366,153.57355
13,9.638,Alpha,2310.51787,5.01591,89.50000,139.28036,155.58870
14,11.413,Alpha,2394.94721,5.04849,89.50000,141.43439,154.24101
15,11.623,Alpha,2084.91410,4.51318,89.50000,135.51348,150.43431
16,12.767,Alpha,2226.09318,4.60458,89.50000,142.40501,152.57384
17,14.348,Alpha,3429.87148,7.74810,89.00000,130.92671,149.34508
18,14.809,Alpha,2164.74171,4.98457,88.50000,131.15178,153.34922
19,14.915,Alpha,2342.29371,4.75621,89.50000,142.91811,150.87876
20,14.971,Alpha,2158.53183,4.81109,91.41800,135.57809,154.30562
21,14.998,Alpha,2053.88884,4.69785,89.00000,129.21533,149.94804
22,15.160,Alpha,2308.24922,4.84596,88.50000,144.35953,157.51728
23,17.025,Alpha,2309.19818,4.75949,90.00000,143.47076,153.45118
24,17.197,Alpha,2370.49298,5.23616,86.00000,138.20073,157.68449
25,17.396,Alpha,2196.95253,4.97639,87.50000,133.88017,155.12455
26,17.799,Alpha,2438.05190,5.17779,86.50000,140.03483,153.94994
27,19.621,Round,1292.54368,2.90861,81.00000,126.10203,146.40184
28,19.653,Alpha,2198.78262,4.76878,90.00000,135.70271,150.74291
29,20.277,Alpha,2250.23769,4.81225,91.46871,141.11592,155.60439
30,20.374,Alpha,2079.77395,4.35489,89.43062,145.65049,158.67467
31,21.377,Alpha,2216.38038,5.01944,90.50000,134.15301,154.85955
32,21.451,MidAir,2119.67610,4.70605,90.86199,132.86335,150.11260
33,22.559,MidAir,2020.82495,4.52888,91.50000,131.39761,149.04771
34,22.671,Alpha,2216.88674,4.41872,87.00000,143.42912,149.32567
35,23.146,Alpha,2321.65668,5.33217,90.00000,136.09240,160.18272
36,24.830,Alpha,2081.92110,4.51487,91.83689,137.00409,152.09928
37,25.204,Alpha,2123.14151,4.78405,89.97805,132.47320,152.12714
