# File Format Version = 2
# File Timestamp = 2/2/2018 11:08:48 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-31-104026.40.buf
# Measurement ID = 85
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.099,Alpha,2317.63759,4.79437,88.00000,144.98367,155.79004
2,1.323,Alpha,2206.80034,4.61462,93.00000,143.98128,155.16955
3,1.536,Alpha,2269.02810,4.85140,88.50000,139.53906,153.76490
4,2.064,Alpha,2426.43696,4.78433,87.50000,151.34594,156.25042
5,2.297,Alpha,2197.05767,4.47313,90.50000,145.00774,153.19395
6,3.515,Alpha,2329.21199,4.73313,87.00000,143.94845,152.20815
7,4.679,Alpha,2270.20929,4.84971,87.00000,139.43691,153.75360
8,5.684,Alpha,2302.62672,4.85268,88.50000,140.73844,153.17479
9,6.803,Alpha,2278.39905,4.75355,89.50000,142.21267,153.39714
10,7.569,Alpha,2291.00831,4.87145,86.50000,139.21385,152.55624
11,7.708,Alpha,2265.23751,4.61352,89.00000,143.93213,152.21199
12,9.176,Alpha,2505.70692,5.06418,87.00000,147.54681,155.56228
13,9.248,Alpha,2177.26633,4.71343,90.00000,139.37463,154.77548
14,9.336,Alpha,2267.81947,4.87058,88.00000,138.25448,152.71366
15,9.767,Alpha,2209.05474,4.41612,90.00000,145.40817,151.43538
16,10.704,Alpha,2301.69813,4.74664,90.00000,144.29906,154.25770
17,11.257,Alpha,2387.02272,4.81864,89.00000,148.71934,156.54703
18,11.379,Alpha,2417.17004,4.92431,88.50000,148.21645,157.34042
19,11.647,Alpha,2361.52755,4.90939,86.00000,143.89449,155.25506
20,11.749,Alpha,2215.58386,4.78744,86.00000,136.44390,151.74727
21,11.805,Alpha,2301.72914,4.75482,89.00000,143.30074,153.45006
22,11.815,Alpha,2455.52202,4.97871,86.50000,148.37948,156.94961
23,12.402,Alpha,2224.32776,4.88627,83.00000,136.16070,153.71267
24,12.502,Alpha,2293.72007,4.62706,90.00000,145.66735,152.75974
25,12.832,Alpha,2464.40106,4.89227,89.00000,151.43808,157.31413
26,13.326,Alpha,2360.50413,4.69127,91.00000,150.92743,156.78234
27,15.467,Alpha,2250.28052,4.48401,88.00000,144.72923,150.51136
28,15.789,Alpha,2088.45239,4.46527,91.00000,138.63367,152.03607
29,16.219,Alpha,2264.06560,4.51792,90.00000,147.47528,153.45820
30,16.306,Alpha,2368.65318,4.80257,89.00000,146.35354,154.34564
31,17.379,Alpha,2275.89301,4.68279,88.50000,141.74448,151.07938
32,17.514,Alpha,2414.58522,4.75103,91.00000,153.16522,157.79420
33,17.783,Alpha,2213.66481,4.56808,89.50000,142.49428,152.41935
34,17.897,Alpha,2424.76731,4.79658,88.00000,151.32251,156.74723
35,18.372,Alpha,2232.35095,4.53467,92.50000,145.26250,153.04982
36,18.979,Alpha,2328.24941,4.71735,89.50000,147.25726,155.36369
37,19.006,Alpha,2438.86600,4.90209,87.50000,147.72442,154.92560
38,19.388,Alpha,2141.77941,4.54455,90.00000,139.22462,151.94673
39,21.166,Alpha,2285.37509,4.69999,88.50000,146.55420,156.68585
40,21.215,Alpha,2304.27737,4.71055,90.00000,146.64481,155.86560
41,21.488,Alpha,2213.93794,4.46378,88.50000,151.30224,159.35341
42,21.985,Alpha,2292.72995,4.70293,87.00000,144.70109,154.25100
43,22.208,Alpha,2058.31334,4.52296,91.00000,135.77488,151.94797
44,22.495,Alpha,2290.97628,4.71879,90.00000,149.41832,160.15644
45,22.704,Alpha,2342.42778,4.58399,90.00000,151.37394,155.20833
46,23.057,Alpha,2337.87723,4.73209,89.50000,149.23843,157.36343
47,23.091,Alpha,2453.70104,4.87832,85.50000,148.67134,154.63569
48,23.949,Alpha,2336.86071,4.73062,89.50000,148.48118,156.62323
49,25.248,Alpha,2443.52066,4.87450,89.00000,148.31577,154.54531
50,25.868,Alpha,2304.17178,4.71534,88.00000,145.27989,154.61895
51,27.562,Alpha,2242.02050,4.64737,87.00000,141.85566,152.17003
52,27.974,Alpha,1860.58041,3.73956,87.50000,150.24214,157.88925
53,28.328,Alpha,2263.78361,4.61634,89.00000,143.02346,151.36187
54,29.110,Alpha,2197.17823,4.84931,86.00000,135.50647,153.34664
55,29.740,Alpha,2185.75801,4.80974,88.50000,135.76126,153.16016
56,30.328,Alpha,2288.82278,4.67349,88.00000,143.99531,152.87233
57,32.092,Alpha,2415.36046,4.79843,88.00000,147.25278,152.81518
58,33.613,Alpha,2368.02011,4.82074,87.50000,148.16459,157.07705
59,33.924,Alpha,2221.71598,4.76439,90.00000,137.96401,151.94733
60,33.950,Alpha,2394.58315,4.75518,87.00000,150.93949,156.91603
61,34.099,Alpha,2313.35793,4.67913,90.50000,148.71186,156.69332
62,34.897,Alpha,2262.93973,4.75645,90.00000,142.46453,154.83194
63,35.324,Alpha,2275.59651,4.58326,89.00000,146.30863,153.55414
64,35.789,Alpha,2349.61757,4.73388,89.50000,146.92109,154.13197
65,36.063,Alpha,2153.67508,4.59037,88.00000,137.55565,150.64030
66,37.000,Alpha,2238.92199,4.83828,89.50000,137.37464,152.24698
67,37.892,Alpha,2380.66386,4.88474,89.00000,147.64263,157.73280
68,38.424,Alpha,2377.33726,4.70313,89.00000,148.63911,153.73714
69,39.231,Alpha,2106.88374,4.71612,89.50000,134.05108,152.56562
70,39.841,Alpha,2396.28403,4.73919,89.50000,151.14759,156.41632
71,40.639,Alpha,2127.39905,4.48017,90.00000,140.89717,152.93363
72,40.791,Alpha,2294.80968,4.80695,90.00000,142.58433,154.43084
73,41.691,Alpha,2128.85428,4.06326,89.00000,152.09794,152.84910
74,42.679,Alpha,2126.07275,4.60392,91.00000,137.54468,152.37643
75,43.367,Alpha,2362.11834,4.76328,84.00000,145.45912,152.94280
76,43.575,Alpha,2237.41389,4.34287,90.00000,150.84190,153.61064
77,43.904,Alpha,2377.25963,4.89910,89.00000,145.18167,155.31486
78,44.208,Alpha,2258.18010,4.74851,85.00000,137.94356,149.62869
79,44.465,Alpha,2352.62908,4.69759,89.50000,148.16993,154.33817
80,45.141,Alpha,2198.06554,4.41369,89.50000,145.45273,152.07963
81,46.474,Alpha,2377.54324,4.90570,89.50000,146.73945,157.21328
82,46.538,Alpha,2312.02448,4.53674,86.50000,146.64898,150.67444
83,47.132,Alpha,2345.82944,4.84922,89.00000,145.42426,155.89457
84,47.977,Alpha,2354.99288,4.84281,87.50000,147.85056,158.30788
85,50.061,Alpha,2333.77245,4.69957,89.50000,150.52832,158.24137
86,50.539,Alpha,2287.02833,4.65863,88.50000,145.47741,154.13724
87,50.704,Alpha,2209.37906,4.35933,91.50000,150.54248,155.19843
88,51.152,Alpha,2170.34539,4.79469,89.50000,137.66656,155.76899
89,51.372,Alpha,2507.97416,4.84749,85.00000,153.81270,156.27216
90,51.818,Alpha,2337.18404,4.65850,89.50000,150.24652,156.42506
91,52.156,Alpha,2242.72017,4.73272,89.00000,138.54917,150.66294
92,53.097,Alpha,2312.26634,4.56404,89.50000,150.77061,155.80511
93,53.387,Alpha,2296.12790,4.70708,91.00000,145.22598,154.43046
94,53.660,Alpha,2358.01745,4.55333,89.50000,151.99939,154.17549
95,53.970,Alpha,2482.62153,4.94752,88.00000,149.93420,156.22238
96,54.155,Alpha,2150.61853,4.54839,91.50000,139.49267,151.54305
97,54.298,Alpha,2384.81157,4.93262,85.50000,144.98685,155.87248
98,55.491,Alpha,3946.34687,7.85310,88.50000,152.74931,158.62684
99,55.788,Alpha,2162.17130,4.86190,90.50000,133.73951,152.79535
100,56.635,Alpha,3041.42334,6.03871,89.50000,149.16303,154.62847
101,58.107,Alpha,2325.01064,4.57315,90.00000,149.30889,153.62846
102,58.115,Alpha,2361.82115,4.77504,87.50000,146.83114,154.84000
103,60.150,Alpha,2455.70654,4.97121,85.00000,147.54055,155.88692
