# File Format Version = 2
# File Timestamp = 2/2/2018 11:00:50 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-02-02-100034.33.buf
# Measurement ID = 89
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,0.566,Alpha,2180.96927,4.61249,88.50000,139.36721,151.98155
2,0.858,Alpha,2263.69787,4.73952,89.50000,142.08697,153.84154
3,1.042,Alpha,2210.57037,4.74314,81.50000,136.75889,151.24358
4,1.241,Alpha,2194.91041,4.55007,91.00000,142.44691,152.62760
5,3.248,Alpha,2072.34653,4.11644,87.00000,149.67403,155.56962
6,4.542,Alpha,2206.47344,4.57748,90.00000,141.12585,151.12134
7,5.137,Alpha,2259.16167,4.70136,90.00000,141.72581,152.37986
8,5.303,Alpha,2189.12234,4.73091,89.50000,139.60803,155.30688
9,5.662,Alpha,2260.75497,4.61130,89.00000,146.80879,155.95084
10,5.696,Alpha,2274.86816,4.53245,85.50000,145.70789,151.64478
11,5.708,Alpha,2409.32109,4.85597,88.00000,148.08565,155.73442
12,6.143,Alpha,1107.39323,2.10544,57.50000,121.52493,121.81128
13,6.386,Alpha,2285.02781,4.60218,88.00000,147.24278,154.64720
14,7.265,Alpha,2267.76103,4.67660,88.50000,144.92057,155.28702
15,8.439,Alpha,2261.23836,4.58901,87.00000,142.63079,150.58009
16,10.077,Alpha,1683.83980,3.54599,89.50000,146.42101,160.08573
17,10.719,Alpha,2309.31668,4.67448,88.00000,151.03378,159.63480
18,10.926,Alpha,2157.81299,4.38410,89.50000,151.39423,160.37501
19,12.947,Alpha,2367.39540,5.01819,88.50000,143.98071,158.19229
20,12.981,Alpha,2389.96082,4.77836,90.50000,150.16730,156.70968
21,13.375,Alpha,2407.78606,4.81764,88.00000,150.10267,156.86371
22,15.452,Alpha,2211.57763,4.45640,90.00000,151.07159,158.85007
23,17.231,Alpha,2354.04303,4.90384,90.50000,144.83912,156.31479
24,17.706,Alpha,2277.60967,4.53229,90.50000,154.43185,160.72366
25,18.049,Alpha,2153.53611,4.35241,90.00000,145.55559,153.08053
26,18.729,Alpha,2321.13025,4.79509,88.50000,146.86585,157.62449
27,18.736,Alpha,2180.06560,4.57428,91.00000,143.10860,154.92470
28,18.824,Alpha,2336.89645,5.04212,86.50000,142.00003,158.33385
29,19.615,Alpha,1815.05723,3.51940,85.50000,151.11079,153.98765
30,20.395,Alpha,2229.38049,4.58716,88.00000,142.74942,152.30047
31,20.472,Alpha,2201.29921,4.73573,92.00000,138.28014,152.31052
32,20.511,Alpha,2206.19645,4.46055,90.50000,143.98769,151.36203
33,21.091,Alpha,2414.66993,4.80863,89.00000,148.86742,154.81459
34,21.139,Alpha,2373.67209,4.76634,91.00000,150.70079,157.91448
