# File Format Version = 2
# File Timestamp = 1/25/2018 9:22:19 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-25-082208.68.buf
# Measurement ID = 76
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.411,Alpha,2155.43883,4.46076,88.73904,141.84735,152.47449
2,1.597,Alpha,2242.49198,4.77968,90.50000,144.73169,159.85557
3,2.308,Round,2261.38987,5.40119,86.00000,132.76121,163.48276
4,2.588,Alpha,2269.38518,4.78477,88.30944,143.70281,157.59705
5,2.730,Alpha,2238.55358,5.13198,90.00000,133.88024,156.77094
6,3.624,Alpha,2276.51863,4.98444,90.50000,138.70729,156.16093
7,4.379,Alpha,2091.83995,4.63257,88.50000,135.32739,153.62583
8,6.352,Alpha,2253.95220,4.78635,88.50000,140.61250,154.35377
9,7.707,Alpha,2159.02919,4.78760,88.00000,136.41201,155.60842
10,7.979,Alpha,2342.65698,5.03949,90.50000,142.80212,158.73903
11,8.183,Alpha,2222.63726,4.79377,91.50000,141.18131,156.66653
12,9.806,Alpha,2159.27676,4.61270,90.00000,142.60214,157.71481
13,10.077,Alpha,2220.08371,4.75379,89.50000,138.39001,152.78854
14,11.354,Alpha,2200.59834,4.79110,88.00000,135.75917,151.84150
15,11.877,Alpha,2330.62322,5.49750,90.50000,132.92778,160.11442
16,12.804,Alpha,2219.55155,4.63793,92.50000,144.15224,155.70098
17,14.068,Alpha,2060.70714,4.66275,90.00000,131.79340,151.67971
18,14.140,Alpha,2219.55764,4.81553,89.00000,139.25908,155.97178
19,14.685,Alpha,2113.02101,4.58764,91.00000,138.09287,153.97593
20,15.802,Alpha,2162.75901,4.67592,90.24489,139.79008,155.88113
21,16.062,Alpha,2129.35689,4.85874,92.79904,139.41401,163.13650
22,16.750,Alpha,2197.02471,4.33511,88.50000,148.91140,153.90530
23,18.237,Alpha,2413.09615,5.18460,84.00000,140.82242,156.58676
24,18.800,Alpha,2243.20380,4.78520,86.50000,136.94602,150.53217
25,19.215,Alpha,2318.11479,4.86048,90.07044,145.82492,158.94750
26,19.540,Alpha,1889.28597,3.96752,89.04789,141.87130,154.53229
27,19.646,Alpha,1963.04385,4.37656,92.08139,135.01507,153.26285
28,19.704,Alpha,2180.89396,4.86637,91.45353,138.73630,158.97097
29,20.253,Alpha,2155.35183,4.60048,91.12513,138.20011,151.67099
30,20.354,Alpha,2208.83094,5.10729,84.00000,134.47064,160.31579
31,20.358,Round,1996.63481,5.01096,91.50000,125.98512,158.68293
32,21.379,Alpha,2137.96709,4.43623,93.23387,145.42505,156.23202
33,22.315,Alpha,2341.47678,5.16417,90.59498,142.54729,162.72775
34,23.687,Alpha,2153.70677,4.23017,89.50000,150.10565,154.50000
35,23.794,Alpha,2201.37759,4.63462,91.50000,140.66643,152.66559
36,24.039,Alpha,2101.89733,4.66667,91.00000,135.22346,153.29491
37,25.908,Alpha,2161.10586,4.80558,90.50000,137.61858,157.04587
38,26.319,Alpha,2165.28498,4.67462,90.00000,138.73137,154.28264
39,26.990,Alpha,2247.36105,4.76870,89.00000,138.37891,151.61840
40,27.359,Alpha,1982.54268,4.45076,90.19054,132.55067,151.58248
41,27.824,Alpha,2135.87495,4.83338,89.50000,134.68196,155.97123
42,28.459,Round,883.46147,2.45280,72.88903,96.61507,137.61887
43,28.743,Alpha,2089.21545,4.42459,89.50000,146.66468,161.59244
44,28.902,Alpha,2157.93143,4.60882,87.50000,137.72797,151.78702
45,30.554,Alpha,2174.83619,4.65813,90.00000,137.82717,151.72258
46,30.863,Alpha,2210.22951,4.91524,89.00000,136.24686,155.58409
47,31.830,Alpha,2242.48739,5.09987,90.50000,136.32890,158.63675
48,33.336,Alpha,2082.80373,4.63594,91.00000,136.60390,155.58751
49,33.596,Alpha,2155.58020,4.81384,88.00000,134.93639,154.70521
50,35.390,Alpha,2472.60532,5.27872,87.50000,145.43749,161.23068
51,35.478,Alpha,2347.61322,5.05555,89.42309,144.59519,161.84688
52,36.274,Alpha,2151.43722,4.59297,88.50000,140.00288,154.32481
53,37.267,Alpha,2161.16312,4.75636,89.00000,134.72120,151.86392
54,37.341,Alpha,2269.00876,5.18565,91.00000,137.72125,161.42536
55,40.478,Alpha,2150.79328,4.72437,89.50000,135.80805,152.73362
56,42.674,Alpha,2276.33159,4.88249,90.00000,145.12192,161.65550
57,43.269,Alpha,2280.27990,4.90410,91.50000,141.95386,157.47685
58,43.520,Alpha,2389.31912,5.03952,89.50000,145.50724,159.22534
