# File Format Version = 2
# File Timestamp = 1/11/2018 1:24:25 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-11-125400.84.buf
# Measurement ID = 63
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,2.142,MidAir,2330.93555,4.91819,91.00000,138.57664,150.36606
2,2.796,MidAir,2204.02805,5.03162,91.00000,128.24393,147.19740
3,2.991,MidAir,2229.79933,4.95151,90.50000,131.79440,148.61768
4,3.635,Alpha,1463.07607,3.17327,90.28847,136.31415,151.71567
5,4.034,MidAir,2132.87037,4.67257,89.50000,132.03663,147.39807
6,6.189,MidAir,2038.10564,4.49191,91.22893,131.66435,147.27670
7,6.250,Alpha,2397.58510,5.13476,85.00000,137.03175,151.15405
8,6.980,MidAir,2122.30980,4.62043,91.96152,132.96527,147.17013
9,6.981,Alpha,1957.27812,4.27667,74.00000,131.64213,145.46509
10,7.590,Alpha,2400.06807,5.61333,88.50000,130.35801,155.02704
11,7.776,MidAir,2231.88877,4.85866,90.50000,134.42824,149.18062
12,8.106,MidAir,2282.96992,5.09926,90.00000,131.31805,148.22004
13,9.160,Alpha,2306.46423,4.97231,75.50000,133.51931,148.11824
14,9.578,Alpha,2188.16516,4.89422,91.62286,133.94434,152.40643
15,10.209,Alpha,2386.00836,5.00226,82.00000,137.04491,148.29859
16,11.952,MidAir,2200.25120,4.77934,87.50000,132.70202,147.13587
17,12.292,Alpha,2355.15469,5.24172,89.50000,135.52065,154.69010
18,12.361,MidAir,2309.98261,4.79363,90.00000,138.04278,147.94758
19,13.185,MidAir,2706.18940,5.87792,93.50000,135.19095,148.95565
20,13.727,Alpha,2176.15835,4.54307,87.00000,137.31966,147.92728
21,14.157,MidAir,2276.81592,5.11015,91.50000,131.15065,148.92086
22,14.227,Alpha,2427.74040,5.11521,80.50000,137.92454,150.02601
23,14.516,Alpha,2254.06286,5.14089,88.00000,129.11149,149.10510
24,14.627,MidAir,2202.95408,4.93549,89.00000,129.60183,147.26245
25,14.636,Alpha,2175.21128,4.63471,85.00000,132.98766,145.44828
26,15.348,MidAir,2285.33974,4.67585,91.50000,138.99341,147.07722
27,16.858,MidAir,2240.53965,4.83444,91.50000,135.96244,149.84928
28,16.903,MidAir,2101.62046,4.35016,93.50000,138.59274,147.62034
